"240313_ICP4"	"240313_n208"	"240501_ICP4"	"240501_RR_LL"	"240710_RR_LL"	"240814_ICP4"	"240814_RR_LL"	"240904_ICP4"	"240904_n208"	"240905_ICP4"	"240905_n208"	"240926_ICP4"
"ENSG00000248256"	0	7	3	2	1	3	0	7	6	3	8	0
"ENSG00000248257"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248259"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248261"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248262"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248265"	4	14	1	13	13	6	0	15	4	11	3	2
"ENSG00000248266"	0	4	0	0	0	0	0	3	0	0	0	0
"ENSG00000248268"	0	0	0	0	0	0	0	0	5	0	0	1
"ENSG00000248271"	0	0	0	0	0	0	0	0	0	0	2	0
"ENSG00000248275"	75	364	143	93	90	77	100	417	292	396	294	322
"ENSG00000248278"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248279"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248281"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248282"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248283"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248285"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248286"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248287"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248288"	0	1	0	0	0	0	0	0	2	1	0	0
"ENSG00000248290"	0	0	0	0	0	0	0	0	0	1	3	0
"ENSG00000248293"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248295"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248296"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248300"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248302"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248305"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248307"	0	1	0	0	0	0	0	0	0	0	1	2
"ENSG00000248308"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248309"	1	17	0	2	2	0	0	16	7	7	5	16
"ENSG00000248311"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248313"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248315"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248317"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248318"	0	0	0	0	0	0	0	0	0	0	1	1
"ENSG00000248319"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248320"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248322"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248323"	13	47	100	49	65	20	13	150	160	98	107	215
"ENSG00000248327"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248328"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248329"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248330"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248332"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248333"	1040	4050	1073	824	701	714	936	3879	3012	3063	2616	2669
"ENSG00000248334"	0	5	1	0	0	4	8	2	8	12	2	10
"ENSG00000248335"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248336"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248337"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248338"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248339"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248340"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248343"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248346"	0	1	0	0	0	0	0	3	0	1	2	0
"ENSG00000248347"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248349"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248350"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248351"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248355"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248356"	0	0	0	0	0	3	0	4	7	4	0	5
"ENSG00000248358"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248359"	0	4	0	0	0	0	0	0	0	0	0	0
"ENSG00000248360"	0	0	0	0	0	0	0	15	9	3	3	19
"ENSG00000248362"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248363"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248364"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248365"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248366"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248367"	6	18	7	5	5	5	6	42	16	16	18	10
"ENSG00000248369"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248370"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000248373"	0	0	0	0	0	0	0	0	0	0	0	2
"ENSG00000248374"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248375"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248376"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248377"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248378"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248383"	2	2	0	2	0	0	0	4	3	0	0	3
"ENSG00000248385"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248387"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248388"	3	8	3	0	6	2	0	6	1	20	20	4
"ENSG00000248391"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000248393"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248394"	4	4	5	0	0	0	6	11	8	7	5	4
"ENSG00000248396"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248397"	0	0	0	6	0	0	0	0	0	0	0	0
"ENSG00000248399"	0	2	0	0	0	0	2	0	3	0	0	5
"ENSG00000248400"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248401"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248403"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248405"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248406"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248408"	0	0	0	0	0	0	0	0	4	0	0	0
"ENSG00000248409"	0	3	0	0	0	0	0	3	1	1	3	0
"ENSG00000248415"	0	0	0	0	0	0	0	1	1	0	1	0
"ENSG00000248416"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248417"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248418"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248419"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248420"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248422"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248423"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248424"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248425"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248426"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248428"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248429"	7	25	81	26	49	27	34	111	262	83	297	308
"ENSG00000248430"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248431"	0	0	0	0	0	0	0	0	0	4	0	4
"ENSG00000248434"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248439"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248440"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248441"	0	3	0	0	0	0	0	0	0	5	3	14
"ENSG00000248442"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248443"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248444"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000248445"	0	12	0	15	2	0	4	31	21	19	23	32
"ENSG00000248447"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248448"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248449"	1	0	3	1	0	0	0	3	0	5	3	8
"ENSG00000248452"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248455"	0	0	0	6	0	0	0	0	0	4	1	0
"ENSG00000248456"	0	1	0	0	0	0	0	0	0	0	0	0
"ENSG00000248457"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248458"	2	3	0	2	3	0	0	2	0	6	2	7
"ENSG00000248459"	0	0	0	0	0	0	0	0	0	0	0	2
"ENSG00000248461"	0	0	0	6	0	0	0	0	0	0	0	0
"ENSG00000248462"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248464"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248466"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248468"	2	9	6	0	2	3	6	24	0	7	1	8
"ENSG00000248469"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248471"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248472"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248473"	3	8	0	0	0	0	0	6	2	14	4	43
"ENSG00000248474"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248475"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248476"	6	19	0	5	6	4	0	25	15	15	19	17
"ENSG00000248477"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248479"	0	0	0	0	0	0	0	0	0	0	0	4
"ENSG00000248480"	0	0	0	0	0	0	0	1	0	3	4	1
"ENSG00000248482"	0	0	0	4	0	0	0	0	0	0	0	0
"ENSG00000248483"	0	0	0	0	0	0	0	0	0	0	3	0
"ENSG00000248484"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248485"	0	3	0	0	0	0	0	3	5	0	1	5
"ENSG00000248487"	45	114	66	33	40	32	84	141	145	138	114	264
"ENSG00000248488"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248489"	13	85	19	25	14	8	32	84	110	60	107	95
"ENSG00000248490"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248491"	0	3	0	0	0	0	0	2	4	0	0	1
"ENSG00000248492"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248493"	0	0	0	4	0	0	0	0	1	0	0	0
"ENSG00000248494"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248498"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248503"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248505"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSG00000248506"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248507"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248508"	15	124	36	35	58	42	22	206	200	203	168	212
"ENSG00000248510"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000248511"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248514"	0	0	0	0	0	0	2	8	6	7	1	23
"ENSG00000248515"	0	2	5	0	0	0	0	0	0	0	0	1
"ENSG00000248516"	0	0	0	0	0	0	0	0	0	4	0	0
"ENSG00000248517"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248518"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248521"	0	0	0	0	0	3	0	0	2	2	1	5
"ENSG00000248522"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248525"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248527"	4014	15811	7695	5304	3214	2638	4272	24109	15264	16909	14540	22212
"ENSG00000248528"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248529"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248530"	2	4	8	5	0	0	0	4	3	3	12	8
"ENSG00000248531"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248532"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248533"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000248537"	0	4	0	0	1	0	0	0	0	3	6	4
"ENSG00000248538"	0	5	0	0	0	3	0	6	9	3	4	8
"ENSG00000248539"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248540"	0	0	3	6	1	1	0	2	13	0	5	12
"ENSG00000248542"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248543"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248544"	0	1	0	0	0	0	0	4	2	4	2	1
"ENSG00000248545"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248546"	0	0	0	0	0	0	0	0	0	4	0	0
"ENSG00000248547"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248548"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248550"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248551"	0	9	0	4	0	3	0	0	0	2	0	0
"ENSG00000248552"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248553"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248554"	2	12	1	0	0	1	0	5	1	8	11	5
"ENSG00000248555"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248557"	0	13	5	1	10	0	0	4	8	2	10	6
"ENSG00000248559"	10	10	0	1	1	5	10	35	15	27	17	7
"ENSG00000248560"	8	10	3	0	0	12	5	20	9	37	21	42
"ENSG00000248564"	0	2	0	0	0	0	0	9	0	0	0	0
"ENSG00000248565"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248567"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248568"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248569"	3	6	1	1	0	2	1	9	9	3	6	1
"ENSG00000248571"	0	0	0	0	0	0	0	1	1	0	0	3
"ENSG00000248572"	0	0	0	0	2	0	0	1	3	0	0	0
"ENSG00000248573"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248574"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248576"	0	5	0	0	0	0	0	4	1	5	6	5
"ENSG00000248577"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248578"	0	1	0	0	0	0	0	2	0	1	0	0
"ENSG00000248583"	0	1	4	0	3	0	2	0	2	4	2	15
"ENSG00000248585"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248586"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248587"	16	128	71	50	34	28	31	141	150	86	143	266
"ENSG00000248588"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248590"	0	0	0	0	4	0	0	0	0	0	0	5
"ENSG00000248591"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248592"	2	6	8	0	2	0	0	12	4	3	1	4
"ENSG00000248593"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248596"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248597"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248599"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000248600"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248601"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248605"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248607"	0	4	0	0	0	0	0	1	0	0	1	1
"ENSG00000248608"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248610"	5	7	2	1	1	7	19	6	10	5	28	18
"ENSG00000248611"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248613"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248616"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248618"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248621"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248624"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248625"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248626"	0	3	2	0	0	1	1	2	9	4	0	3
"ENSG00000248627"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248629"	3	0	0	0	0	0	0	0	2	2	0	2
"ENSG00000248633"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000248634"	0	2	0	0	0	9	1	0	0	0	0	7
"ENSG00000248635"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248636"	0	2	4	0	3	0	0	9	3	0	7	0
"ENSG00000248637"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248639"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248640"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248641"	5	23	5	6	2	8	6	25	19	20	24	14
"ENSG00000248642"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248643"	0	16	6	0	3	16	0	23	10	28	20	15
"ENSG00000248645"	0	0	0	0	0	0	0	1	0	0	1	0
"ENSG00000248646"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248647"	0	0	0	0	0	0	0	0	0	0	0	3
"ENSG00000248648"	4	8	0	0	0	2	0	1	4	2	4	1
"ENSG00000248651"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248652"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248654"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248656"	0	2	0	0	0	0	0	0	5	3	3	0
"ENSG00000248659"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000248660"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248663"	0	1	0	1	0	0	0	0	4	1	2	0
"ENSG00000248664"	9	13	1	4	3	2	0	19	17	29	9	23
"ENSG00000248667"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248668"	3	29	18	0	0	0	0	15	2	2	8	0
"ENSG00000248669"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248672"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248673"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSG00000248674"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248676"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248677"	5	17	8	0	0	2	4	7	5	9	8	12
"ENSG00000248682"	0	2	15	0	0	0	0	0	0	5	1	0
"ENSG00000248684"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248685"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248687"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248690"	24	182	47	36	18	36	20	144	61	118	186	130
"ENSG00000248692"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248693"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000248694"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248696"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248697"	0	0	1	0	0	1	0	2	1	0	6	0
"ENSG00000248698"	0	2	0	0	0	0	0	1	0	0	0	0
"ENSG00000248699"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248701"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248702"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248703"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248704"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248705"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248708"	0	0	0	0	0	0	0	0	0	0	4	0
"ENSG00000248709"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248710"	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000248711"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000248712"	1	28	15	11	12	5	2	51	30	20	26	34
"ENSG00000248713"	0	0	0	0	0	0	0	5	0	0	0	0
"ENSG00000248714"	5	43	5	3	0	2	6	33	16	15	22	14
"ENSG00000248715"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248716"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248717"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248719"	6	7	0	0	0	0	5	16	11	21	13	11
"ENSG00000248720"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248722"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248724"	8	19	0	0	7	0	0	1	20	6	14	26
"ENSG00000248725"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248727"	4	10	1	9	3	0	0	16	15	13	10	53
"ENSG00000248729"	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000248730"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248733"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248734"	4	15	0	0	2	5	0	25	13	16	16	14
"ENSG00000248735"	0	0	0	0	0	0	0	0	0	0	0	2
"ENSG00000248736"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248738"	0	0	0	0	0	0	0	2	0	0	2	0
"ENSG00000248739"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248740"	0	0	0	0	0	3	0	0	0	0	0	0
"ENSG00000248744"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248745"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248746"	0	1	10	1	3	7	0	7	5	1	0	1
"ENSG00000248747"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248748"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248749"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248750"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248751"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSG00000248752"	0	0	0	0	0	0	0	3	4	0	18	0
"ENSG00000248753"	0	0	0	0	0	0	0	1	0	4	0	0
"ENSG00000248755"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248757"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000248758"	0	0	0	0	0	0	0	2	0	0	0	0
"ENSG00000248761"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248762"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248763"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248764"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248765"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248766"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248767"	0	0	0	0	0	0	0	0	0	2	0	0
"ENSG00000248769"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248770"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248771"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248772"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248773"	1	2	10	0	4	0	0	5	0	3	0	0
"ENSG00000248774"	0	19	0	0	0	0	0	1	0	11	1	0
"ENSG00000248775"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248777"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248778"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248779"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248780"	0	0	0	0	0	0	0	1	0	0	0	1
"ENSG00000248781"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000248783"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248785"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000248787"	7	42	9	5	2	7	17	25	28	18	32	29
"ENSG00000248789"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248790"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248791"	3	7	0	0	3	0	0	0	3	4	2	0
"ENSG00000248792"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248794"	0	7	0	0	0	0	0	1	1	2	7	10
"ENSG00000248795"	1	1	0	0	0	0	0	0	5	0	2	0
"ENSG00000248796"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248799"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248801"	0	0	0	0	2	0	0	2	3	0	0	0
"ENSG00000248802"	0	0	0	0	0	0	0	0	3	0	0	0
"ENSG00000248803"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248807"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248809"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSG00000248810"	15	70	11	12	4	8	15	58	50	53	83	37
"ENSG00000248813"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248816"	0	2	0	0	0	0	0	0	4	0	0	0
"ENSG00000248817"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248820"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248821"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248822"	0	0	0	0	0	0	0	0	0	0	0	2
"ENSG00000248824"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248826"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248827"	0	1	0	0	0	0	0	2	0	1	0	1
"ENSG00000248830"	0	5	0	0	1	0	0	2	1	2	2	2
"ENSG00000248831"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248834"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248837"	0	0	0	0	0	0	0	0	2	1	0	0
"ENSG00000248838"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248839"	0	0	0	0	0	0	0	4	0	0	0	0
"ENSG00000248840"	0	0	0	0	0	0	0	0	2	0	0	0
"ENSG00000248842"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248843"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248844"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248846"	0	6	0	0	0	0	0	3	3	0	0	0
"ENSG00000248847"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248848"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248850"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248851"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248853"	0	0	0	0	0	0	0	0	0	0	0	7
"ENSG00000248854"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248858"	0	2	0	1	0	0	0	3	14	4	1	7
"ENSG00000248859"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248863"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000248866"	33	202	54	45	25	35	64	119	176	136	184	178
"ENSG00000248867"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248869"	5	13	3	6	3	0	0	6	15	10	16	7
"ENSG00000248870"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248871"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248872"	0	0	0	1	0	0	0	0	0	0	0	0
"ENSG00000248873"	0	2	0	2	0	1	7	1	3	2	2	4
"ENSG00000248874"	0	4	2	7	3	0	0	1	0	0	0	4
"ENSG00000248876"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248877"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000248878"	0	0	0	0	0	0	0	0	0	0	0	0
