"SRR19779315"	"SRR19779318"	"SRR19779319"
"ENSG00000207004"	1	0	37
"ENSG00000207005"	180	7	62
"ENSG00000207007"	0	0	0
"ENSG00000207008"	138	6	20
"ENSG00000207009"	4	0	2
"ENSG00000207010"	0	0	0
"ENSG00000207011"	0	0	0
"ENSG00000207012"	1	0	1
"ENSG00000207013"	0	0	0
"ENSG00000207014"	0	0	0
"ENSG00000207016"	2	0	4
"ENSG00000207019"	0	0	0
"ENSG00000207020"	0	2	0
"ENSG00000207021"	0	0	9
"ENSG00000207022"	15	6	7
"ENSG00000207023"	5	0	5
"ENSG00000207024"	0	1	1
"ENSG00000207025"	0	0	0
"ENSG00000207026"	0	0	0
"ENSG00000207027"	0	0	0
"ENSG00000207029"	0	1	3
"ENSG00000207031"	6	0	6
"ENSG00000207032"	0	1	5
"ENSG00000207033"	0	0	0
"ENSG00000207034"	0	0	0
"ENSG00000207036"	1	3	6
"ENSG00000207037"	0	0	0
"ENSG00000207039"	1	1	0
"ENSG00000207041"	66	2	35
"ENSG00000207042"	2	0	3
"ENSG00000207044"	1	0	8
"ENSG00000207045"	0	0	0
"ENSG00000207046"	2	1	3
"ENSG00000207047"	0	0	0
"ENSG00000207049"	0	0	0
"ENSG00000207051"	0	0	0
"ENSG00000207052"	2	1	3
"ENSG00000207053"	1	0	6
"ENSG00000207056"	0	1	1
"ENSG00000207058"	7	5	1
"ENSG00000207060"	0	0	0
"ENSG00000207061"	0	0	0
"ENSG00000207062"	0	0	4
"ENSG00000207063"	0	0	0
"ENSG00000207065"	0	0	0
"ENSG00000207067"	0	0	0
"ENSG00000207068"	0	0	0
"ENSG00000207069"	0	1	0
"ENSG00000207071"	4	2	0
"ENSG00000207072"	8	2	9
"ENSG00000207073"	1	1	1
"ENSG00000207075"	0	0	0
"ENSG00000207076"	0	0	0
"ENSG00000207077"	0	0	0
"ENSG00000207080"	0	0	0
"ENSG00000207081"	0	0	2
"ENSG00000207082"	20	1	19
"ENSG00000207083"	2	0	0
"ENSG00000207084"	7	1	0
"ENSG00000207086"	10	6	22
"ENSG00000207087"	0	0	0
"ENSG00000207088"	121	12	23
"ENSG00000207089"	1	0	0
"ENSG00000207090"	3	2	5
"ENSG00000207091"	15	2	7
"ENSG00000207092"	0	3	4
"ENSG00000207093"	0	0	0
"ENSG00000207094"	0	1	0
"ENSG00000207095"	0	1	0
"ENSG00000207097"	0	0	0
"ENSG00000207098"	0	1	0
"ENSG00000207099"	0	1	0
"ENSG00000207100"	0	0	0
"ENSG00000207101"	0	1	0
"ENSG00000207104"	0	0	0
"ENSG00000207105"	30	8	4
"ENSG00000207108"	0	1	0
"ENSG00000207109"	12	0	4
"ENSG00000207110"	0	0	0
"ENSG00000207112"	0	0	0
"ENSG00000207113"	7	1	11
"ENSG00000207114"	0	2	0
"ENSG00000207115"	0	0	0
"ENSG00000207116"	16	10	2
"ENSG00000207117"	2	0	8
"ENSG00000207118"	0	0	0
"ENSG00000207119"	20	14	7
"ENSG00000207121"	0	0	0
"ENSG00000207122"	0	0	0
"ENSG00000207123"	0	0	0
"ENSG00000207124"	0	0	0
"ENSG00000207127"	1	0	0
"ENSG00000207128"	0	0	3
"ENSG00000207129"	0	0	0
"ENSG00000207130"	0	0	0
"ENSG00000207131"	0	1	0
"ENSG00000207132"	0	1	0
"ENSG00000207133"	0	0	0
"ENSG00000207134"	2	2	3
"ENSG00000207135"	0	1	0
"ENSG00000207136"	1	0	0
"ENSG00000207137"	0	0	0
"ENSG00000207138"	0	0	0
"ENSG00000207139"	1	0	3
"ENSG00000207142"	15	6	9
"ENSG00000207144"	7	3	8
"ENSG00000207145"	0	0	0
"ENSG00000207146"	25	1	59
"ENSG00000207147"	0	0	0
"ENSG00000207148"	0	0	0
"ENSG00000207149"	0	0	0
"ENSG00000207150"	0	0	0
"ENSG00000207151"	6	1	5
"ENSG00000207153"	0	0	0
"ENSG00000207154"	0	3	0
"ENSG00000207155"	0	0	3
"ENSG00000207156"	0	0	0
"ENSG00000207157"	0	0	0
"ENSG00000207158"	0	0	0
"ENSG00000207160"	0	0	0
"ENSG00000207161"	0	1	0
"ENSG00000207162"	3	4	2
"ENSG00000207163"	0	0	0
"ENSG00000207164"	0	0	0
"ENSG00000207165"	0	0	0
"ENSG00000207166"	0	0	0
"ENSG00000207167"	0	0	1
"ENSG00000207168"	1	0	0
"ENSG00000207169"	0	0	1
"ENSG00000207170"	0	3	0
"ENSG00000207171"	1	2	4
"ENSG00000207172"	2	3	2
"ENSG00000207173"	0	1	0
"ENSG00000207174"	0	0	0
"ENSG00000207175"	2	0	3
"ENSG00000207176"	0	0	0
"ENSG00000207177"	0	1	1
"ENSG00000207178"	8	2	1
"ENSG00000207180"	0	0	0
"ENSG00000207181"	113	48	23
"ENSG00000207182"	0	2	0
"ENSG00000207183"	0	0	0
"ENSG00000207185"	3	1	15
"ENSG00000207186"	0	0	3
"ENSG00000207187"	0	3	3
"ENSG00000207189"	0	0	7
"ENSG00000207190"	0	0	0
"ENSG00000207191"	1	0	7
"ENSG00000207192"	0	0	0
"ENSG00000207193"	0	0	0
"ENSG00000207194"	2	0	2
"ENSG00000207195"	0	0	0
"ENSG00000207196"	0	0	1
"ENSG00000207197"	0	0	0
"ENSG00000207198"	1	0	2
"ENSG00000207199"	6	2	28
"ENSG00000207200"	2	0	0
"ENSG00000207201"	0	0	0
"ENSG00000207202"	0	2	2
"ENSG00000207203"	2	1	1
"ENSG00000207204"	0	0	0
"ENSG00000207205"	167	6	61
"ENSG00000207206"	0	0	0
"ENSG00000207207"	0	0	0
"ENSG00000207208"	0	0	1
"ENSG00000207209"	0	0	0
"ENSG00000207210"	1	8	3
"ENSG00000207214"	0	3	0
"ENSG00000207215"	0	2	0
"ENSG00000207217"	69	33	17
"ENSG00000207218"	0	0	0
"ENSG00000207220"	0	0	0
"ENSG00000207221"	2	1	1
"ENSG00000207222"	0	1	0
"ENSG00000207223"	0	1	6
"ENSG00000207225"	0	0	0
"ENSG00000207227"	0	0	0
"ENSG00000207229"	0	1	0
"ENSG00000207231"	1	1	9
"ENSG00000207233"	44	8	20
"ENSG00000207234"	14	12	14
"ENSG00000207235"	0	1	1
"ENSG00000207237"	0	0	1
"ENSG00000207240"	0	0	0
"ENSG00000207241"	0	0	0
"ENSG00000207242"	0	0	0
"ENSG00000207243"	3	0	2
"ENSG00000207244"	0	0	0
"ENSG00000207245"	0	0	0
"ENSG00000207247"	0	0	0
"ENSG00000207248"	15	0	13
"ENSG00000207249"	0	2	0
"ENSG00000207251"	3	1	16
"ENSG00000207252"	0	0	0
"ENSG00000207255"	0	0	0
"ENSG00000207256"	0	0	0
"ENSG00000207257"	0	1	0
"ENSG00000207258"	0	2	0
"ENSG00000207260"	0	1	0
"ENSG00000207261"	0	0	0
"ENSG00000207263"	0	0	0
"ENSG00000207264"	2	1	0
"ENSG00000207265"	0	0	0
"ENSG00000207266"	0	0	0
"ENSG00000207267"	0	2	3
"ENSG00000207268"	0	0	0
"ENSG00000207269"	0	7	0
"ENSG00000207270"	0	2	1
"ENSG00000207271"	0	0	0
"ENSG00000207274"	1	1	0
"ENSG00000207275"	0	0	0
"ENSG00000207276"	1	2	0
"ENSG00000207277"	0	0	3
"ENSG00000207278"	0	0	0
"ENSG00000207279"	0	0	0
"ENSG00000207280"	0	0	0
"ENSG00000207281"	4	3	4
"ENSG00000207282"	0	1	0
"ENSG00000207283"	0	0	0
"ENSG00000207286"	0	1	2
"ENSG00000207287"	0	1	0
"ENSG00000207289"	0	0	0
"ENSG00000207290"	2	6	2
"ENSG00000207291"	9	6	8
"ENSG00000207292"	2	4	9
"ENSG00000207293"	2	1	0
"ENSG00000207294"	0	0	2
"ENSG00000207295"	1	0	0
"ENSG00000207296"	0	1	0
"ENSG00000207297"	0	0	0
"ENSG00000207298"	1	1	1
"ENSG00000207299"	1	8	0
"ENSG00000207300"	0	0	0
"ENSG00000207302"	3	4	0
"ENSG00000207303"	1	2	6
"ENSG00000207304"	0	0	0
"ENSG00000207305"	6	3	1
"ENSG00000207306"	0	2	0
"ENSG00000207307"	0	0	0
"ENSG00000207308"	1	0	2
"ENSG00000207309"	0	1	0
"ENSG00000207310"	1	0	8
"ENSG00000207312"	0	0	0
"ENSG00000207313"	55	4	18
"ENSG00000207316"	1	0	0
"ENSG00000207317"	0	0	0
"ENSG00000207318"	0	0	0
"ENSG00000207319"	0	1	0
"ENSG00000207320"	0	0	2
"ENSG00000207321"	0	0	0
"ENSG00000207322"	0	0	0
"ENSG00000207323"	0	2	0
"ENSG00000207325"	0	2	24
"ENSG00000207326"	1	2	4
"ENSG00000207327"	0	3	0
"ENSG00000207328"	0	0	0
"ENSG00000207329"	0	0	0
"ENSG00000207330"	0	2	0
"ENSG00000207331"	1	3	2
"ENSG00000207332"	0	0	0
"ENSG00000207333"	3	1	6
"ENSG00000207334"	0	12	5
"ENSG00000207336"	76	4	9
"ENSG00000207338"	1	2	0
"ENSG00000207340"	7	0	1
"ENSG00000207341"	1	0	0
"ENSG00000207342"	2	5	16
"ENSG00000207343"	0	1	0
"ENSG00000207344"	16	0	2
"ENSG00000207345"	0	0	2
"ENSG00000207347"	1	0	2
"ENSG00000207349"	0	0	0
"ENSG00000207351"	0	1	0
"ENSG00000207352"	7	0	4
"ENSG00000207355"	3	0	4
"ENSG00000207356"	0	0	0
"ENSG00000207357"	192	88	55
"ENSG00000207359"	1	2	5
"ENSG00000207360"	0	0	0
"ENSG00000207361"	0	0	0
"ENSG00000207362"	5	4	3
"ENSG00000207363"	0	0	0
"ENSG00000207364"	1	2	0
"ENSG00000207365"	0	2	0
"ENSG00000207366"	0	2	0
"ENSG00000207367"	0	0	0
"ENSG00000207368"	7	3	9
"ENSG00000207369"	0	0	1
"ENSG00000207370"	13	0	18
"ENSG00000207371"	1	2	0
"ENSG00000207375"	0	0	0
"ENSG00000207378"	1	0	3
"ENSG00000207379"	19	3	0
"ENSG00000207380"	3	0	5
"ENSG00000207381"	0	0	0
"ENSG00000207382"	2	1	2
"ENSG00000207383"	0	0	0
"ENSG00000207384"	1	1	0
"ENSG00000207385"	1	0	2
"ENSG00000207386"	1	0	4
"ENSG00000207387"	0	0	0
"ENSG00000207389"	15	0	9
"ENSG00000207391"	0	0	0
"ENSG00000207392"	28	2	2
"ENSG00000207393"	2	0	1
"ENSG00000207394"	0	0	0
"ENSG00000207395"	0	0	0
"ENSG00000207397"	0	0	0
"ENSG00000207399"	24	12	13
"ENSG00000207401"	19	3	80
"ENSG00000207402"	0	2	0
"ENSG00000207403"	0	2	0
"ENSG00000207404"	0	1	1
"ENSG00000207405"	0	0	0
"ENSG00000207406"	0	0	0
"ENSG00000207407"	4	0	6
"ENSG00000207408"	0	0	0
"ENSG00000207410"	1	0	1
"ENSG00000207411"	0	3	0
"ENSG00000207412"	3	0	1
"ENSG00000207414"	1	1	0
"ENSG00000207415"	0	0	0
"ENSG00000207416"	0	0	1
"ENSG00000207417"	3	1	0
"ENSG00000207419"	1	0	1
"ENSG00000207420"	0	0	0
"ENSG00000207421"	0	0	0
"ENSG00000207422"	0	3	0
"ENSG00000207425"	17	7	32
"ENSG00000207426"	1	2	7
"ENSG00000207428"	2	3	0
"ENSG00000207430"	0	0	0
"ENSG00000207431"	0	0	0
"ENSG00000207432"	0	0	0
"ENSG00000207433"	0	1	0
"ENSG00000207434"	0	0	0
"ENSG00000207435"	0	1	0
"ENSG00000207438"	0	0	7
"ENSG00000207439"	12	3	0
"ENSG00000207440"	2	1	5
"ENSG00000207441"	0	1	0
"ENSG00000207442"	0	0	0
"ENSG00000207443"	0	0	0
"ENSG00000207444"	3	0	8
"ENSG00000207445"	463	70	124
"ENSG00000207448"	5	1	1
"ENSG00000207449"	2	0	2
"ENSG00000207450"	2	0	3
"ENSG00000207451"	1	2	4
"ENSG00000207452"	19	1	21
"ENSG00000207453"	0	0	0
"ENSG00000207454"	0	0	0
"ENSG00000207455"	12	2	9
"ENSG00000207456"	23	7	0
"ENSG00000207457"	7	3	12
"ENSG00000207458"	0	0	0
"ENSG00000207459"	0	0	0
"ENSG00000207460"	0	0	0
"ENSG00000207461"	1	1	0
"ENSG00000207462"	0	0	0
"ENSG00000207466"	1	0	0
"ENSG00000207467"	3	4	9
"ENSG00000207468"	12	1	18
"ENSG00000207472"	0	4	0
"ENSG00000207473"	0	2	0
"ENSG00000207474"	0	0	0
"ENSG00000207475"	57	3	6
"ENSG00000207476"	0	0	0
"ENSG00000207480"	0	0	0
"ENSG00000207481"	0	5	0
"ENSG00000207483"	1	1	0
"ENSG00000207484"	15	2	13
"ENSG00000207486"	0	0	0
"ENSG00000207488"	1	0	0
"ENSG00000207490"	1	0	0
"ENSG00000207492"	0	0	0
"ENSG00000207493"	37	5	10
"ENSG00000207494"	1	4	2
"ENSG00000207495"	0	0	0
"ENSG00000207496"	0	0	0
"ENSG00000207497"	0	0	0
"ENSG00000207499"	0	0	0
"ENSG00000207500"	0	0	0
"ENSG00000207501"	0	0	0
"ENSG00000207502"	0	0	0
"ENSG00000207503"	0	0	0
"ENSG00000207504"	0	0	0
"ENSG00000207505"	0	4	1
"ENSG00000207507"	96	25	36
"ENSG00000207508"	1	0	4
"ENSG00000207511"	0	1	0
"ENSG00000207512"	2	1	8
"ENSG00000207513"	16	0	3
"ENSG00000207515"	0	0	0
"ENSG00000207516"	0	0	0
"ENSG00000207518"	0	0	2
"ENSG00000207523"	21	4	14
"ENSG00000207524"	87	8	36
"ENSG00000207525"	1	0	5
"ENSG00000207546"	0	0	0
"ENSG00000207547"	32	6	22
"ENSG00000207548"	0	0	0
"ENSG00000207549"	0	0	0
"ENSG00000207550"	0	0	1
"ENSG00000207551"	2	3	0
"ENSG00000207552"	0	0	0
"ENSG00000207554"	2	1	24
"ENSG00000207559"	1	0	0
"ENSG00000207561"	20	5	65
"ENSG00000207562"	0	0	0
"ENSG00000207563"	8	1	15
"ENSG00000207568"	0	0	0
"ENSG00000207569"	0	0	0
"ENSG00000207571"	0	1	1
"ENSG00000207573"	0	0	0
"ENSG00000207574"	20	2	14
"ENSG00000207575"	0	0	0
"ENSG00000207577"	0	0	0
"ENSG00000207578"	1	1	3
"ENSG00000207579"	0	0	0
"ENSG00000207580"	0	0	0
"ENSG00000207581"	0	0	5
"ENSG00000207582"	0	0	1
"ENSG00000207583"	0	0	0
"ENSG00000207585"	0	0	0
"ENSG00000207586"	0	0	0
"ENSG00000207587"	0	0	35
"ENSG00000207588"	0	0	14
"ENSG00000207589"	0	0	0
"ENSG00000207590"	3	1	13
"ENSG00000207594"	0	0	0
"ENSG00000207595"	2	0	7
"ENSG00000207597"	0	0	0
"ENSG00000207598"	0	0	0
"ENSG00000207599"	0	0	0
"ENSG00000207600"	0	2	1
"ENSG00000207604"	0	0	0
"ENSG00000207605"	10	3	1
"ENSG00000207606"	29	1	8
"ENSG00000207607"	0	1	0
"ENSG00000207608"	0	0	0
"ENSG00000207609"	4	2	19
"ENSG00000207611"	0	0	4
"ENSG00000207612"	6	0	21
"ENSG00000207613"	0	2	0
"ENSG00000207614"	6	0	1
"ENSG00000207615"	0	0	0
"ENSG00000207616"	0	0	0
"ENSG00000207617"	0	0	0
"ENSG00000207619"	0	0	0
"ENSG00000207620"	0	0	0
"ENSG00000207622"	5	0	10
"ENSG00000207624"	1	0	2
"ENSG00000207625"	0	0	0
"ENSG00000207626"	0	0	1
"ENSG00000207627"	12	1	2
"ENSG00000207628"	0	0	1
"ENSG00000207629"	0	0	0
"ENSG00000207630"	0	0	0
"ENSG00000207631"	1	1	4
"ENSG00000207632"	16	5	0
"ENSG00000207633"	2	2	7
"ENSG00000207634"	0	1	0
"ENSG00000207635"	0	0	0
"ENSG00000207637"	0	2	0
"ENSG00000207638"	0	1	2
"ENSG00000207639"	1	0	1
"ENSG00000207641"	0	0	0
"ENSG00000207642"	2	2	2
"ENSG00000207644"	0	0	0
"ENSG00000207645"	0	0	0
"ENSG00000207646"	1	2	14
"ENSG00000207647"	1	1	0
"ENSG00000207649"	0	0	0
"ENSG00000207650"	24	3	25
"ENSG00000207651"	2	0	8
"ENSG00000207652"	0	0	0
"ENSG00000207653"	23	0	12
"ENSG00000207654"	0	1	2
"ENSG00000207656"	0	2	0
"ENSG00000207688"	0	0	0
"ENSG00000207689"	0	0	0
"ENSG00000207691"	0	0	0
"ENSG00000207692"	0	0	0
"ENSG00000207693"	0	0	1
"ENSG00000207695"	0	0	0
"ENSG00000207696"	8	2	2
"ENSG00000207697"	64	6	11
"ENSG00000207698"	1	1	13
"ENSG00000207699"	0	0	0
"ENSG00000207701"	2	0	3
"ENSG00000207702"	0	0	0
"ENSG00000207703"	0	1	0
"ENSG00000207704"	0	0	0
"ENSG00000207705"	0	2	0
"ENSG00000207706"	0	0	0
"ENSG00000207708"	1	1	0
"ENSG00000207711"	0	0	0
"ENSG00000207712"	5	1	8
"ENSG00000207713"	0	4	0
"ENSG00000207714"	0	3	1
"ENSG00000207716"	0	0	1
"ENSG00000207717"	0	0	4
"ENSG00000207719"	3	0	7
"ENSG00000207721"	12	2	55
"ENSG00000207722"	0	0	0
"ENSG00000207725"	0	0	0
"ENSG00000207726"	0	1	3
"ENSG00000207728"	3	0	1
"ENSG00000207729"	0	0	0
"ENSG00000207730"	1	0	0
"ENSG00000207731"	0	0	0
"ENSG00000207732"	0	1	1
"ENSG00000207734"	0	1	0
"ENSG00000207735"	0	0	0
"ENSG00000207736"	0	0	0
"ENSG00000207737"	1	0	4
"ENSG00000207738"	0	1	0
"ENSG00000207739"	0	0	0
"ENSG00000207741"	15	2	27
"ENSG00000207742"	0	0	0
"ENSG00000207743"	0	0	6
"ENSG00000207744"	0	0	0
"ENSG00000207746"	0	0	5
"ENSG00000207749"	1	0	11
"ENSG00000207750"	7	3	25
"ENSG00000207751"	26	14	20
"ENSG00000207752"	17	2	18
"ENSG00000207754"	1	1	27
"ENSG00000207755"	2	3	3
"ENSG00000207756"	0	0	2
"ENSG00000207757"	1	1	0
"ENSG00000207758"	1	0	7
"ENSG00000207759"	13	2	8
"ENSG00000207761"	1	1	17
"ENSG00000207762"	0	2	9
"ENSG00000207763"	2	0	1
"ENSG00000207766"	2	1	1
"ENSG00000207767"	0	1	0
"ENSG00000207768"	1	0	0
"ENSG00000207769"	0	1	4
"ENSG00000207771"	0	0	0
"ENSG00000207773"	0	0	0
"ENSG00000207775"	0	0	0
"ENSG00000207776"	0	0	0
"ENSG00000207778"	0	0	0
"ENSG00000207779"	5	1	0
"ENSG00000207780"	7	0	12
"ENSG00000207781"	0	2	1
"ENSG00000207782"	19	16	3
"ENSG00000207784"	4	4	12
"ENSG00000207785"	4	0	0
"ENSG00000207788"	0	0	0
"ENSG00000207789"	2	2	9
"ENSG00000207797"	2	0	0
"ENSG00000207798"	0	0	0
"ENSG00000207799"	0	0	0
"ENSG00000207800"	0	0	0
"ENSG00000207802"	2	1	0
"ENSG00000207803"	0	0	0
"ENSG00000207804"	7	1	1
"ENSG00000207805"	0	0	0
"ENSG00000207807"	0	0	0
"ENSG00000207808"	0	0	0
"ENSG00000207810"	0	0	0
"ENSG00000207811"	0	0	0
"ENSG00000207813"	8	6	35
"ENSG00000207814"	0	1	0
"ENSG00000207815"	0	3	3
"ENSG00000207816"	0	0	0
"ENSG00000207818"	0	0	0
"ENSG00000207820"	8	0	3
"ENSG00000207821"	4	0	3
"ENSG00000207825"	0	0	0
"ENSG00000207826"	0	1	1
"ENSG00000207827"	10	2	10
"ENSG00000207837"	0	0	0
"ENSG00000207838"	0	0	0
"ENSG00000207839"	1	0	6
"ENSG00000207861"	0	0	0
"ENSG00000207862"	0	0	0
"ENSG00000207863"	0	0	0
"ENSG00000207864"	30	1	32
"ENSG00000207866"	0	0	0
"ENSG00000207867"	0	0	0
"ENSG00000207868"	0	0	0
"ENSG00000207869"	0	0	0
"ENSG00000207870"	0	0	0
"ENSG00000207871"	0	1	0
"ENSG00000207873"	0	0	0
"ENSG00000207874"	0	0	1
"ENSG00000207922"	1	2	2
"ENSG00000207923"	0	0	0
"ENSG00000207924"	0	1	0
"ENSG00000207925"	0	0	0
"ENSG00000207926"	0	0	0
"ENSG00000207927"	0	0	0
"ENSG00000207930"	1	0	0
"ENSG00000207931"	1	0	0
"ENSG00000207932"	3	0	1
"ENSG00000207933"	0	0	0
"ENSG00000207934"	1	2	22
"ENSG00000207935"	0	1	0
"ENSG00000207938"	3	3	0
"ENSG00000207940"	8	1	0
"ENSG00000207941"	0	0	0
"ENSG00000207942"	0	0	0
"ENSG00000207943"	0	0	3
"ENSG00000207944"	6	1	17
"ENSG00000207946"	0	0	0
"ENSG00000207947"	3	3	3
"ENSG00000207948"	0	0	0
"ENSG00000207951"	13	2	9
"ENSG00000207952"	2	0	7
"ENSG00000207954"	23	10	19
"ENSG00000207955"	9	10	9
"ENSG00000207956"	0	0	5
"ENSG00000207957"	0	0	0
"ENSG00000207959"	0	2	17
"ENSG00000207960"	0	0	0
"ENSG00000207961"	1	5	23
"ENSG00000207962"	2	2	3
"ENSG00000207963"	5	0	2
"ENSG00000207965"	1	0	0
"ENSG00000207967"	3	1	1
"ENSG00000207969"	0	0	0
"ENSG00000207970"	1	0	0
"ENSG00000207971"	59	3	125
"ENSG00000207972"	0	0	0
"ENSG00000207973"	12	3	13
"ENSG00000207974"	1	0	0
"ENSG00000207975"	6	0	10
"ENSG00000207976"	1	0	0
"ENSG00000207978"	1	9	45
"ENSG00000207979"	0	0	0
"ENSG00000207980"	0	0	0
"ENSG00000207981"	1	0	0
"ENSG00000207982"	1	0	0
"ENSG00000207983"	2	0	7
"ENSG00000207984"	0	0	0
"ENSG00000207987"	0	0	0
"ENSG00000207988"	4	0	12
"ENSG00000207989"	1	6	18
"ENSG00000207990"	0	0	0
"ENSG00000207991"	10	9	5
"ENSG00000207992"	0	1	0
"ENSG00000207993"	0	0	0
"ENSG00000207994"	2	0	28
"ENSG00000207995"	0	0	0
"ENSG00000207996"	16	3	4
"ENSG00000207997"	1	3	18
"ENSG00000208000"	0	0	0
"ENSG00000208001"	0	0	0
"ENSG00000208002"	0	1	4
"ENSG00000208003"	0	0	10
"ENSG00000208004"	0	0	7
"ENSG00000208005"	0	0	7
"ENSG00000208006"	0	0	0
"ENSG00000208008"	0	0	0
"ENSG00000208009"	3	3	16
"ENSG00000208012"	0	0	0
"ENSG00000208013"	0	0	0
"ENSG00000208014"	0	2	0
"ENSG00000208015"	1	0	0
"ENSG00000208017"	2	2	1
"ENSG00000208018"	5	3	21
"ENSG00000208022"	8	0	5
"ENSG00000208023"	1	0	0
"ENSG00000208024"	0	0	0
"ENSG00000208025"	0	1	0
"ENSG00000208027"	0	0	0
"ENSG00000208028"	38	6	19
"ENSG00000208032"	7	2	4
"ENSG00000208033"	0	0	0
"ENSG00000208036"	11	3	4
"ENSG00000208037"	37	5	7
"ENSG00000208308"	19	5	14
"ENSG00000208772"	385	70	41
"ENSG00000208797"	0	0	0
"ENSG00000208839"	0	0	0
"ENSG00000208883"	0	1	5
"ENSG00000208892"	104	4	15
"ENSG00000209042"	26	0	10
"ENSG00000209082"	1	0	0
"ENSG00000209480"	0	0	0
"ENSG00000209482"	65	3	34
"ENSG00000209582"	0	0	0
"ENSG00000209645"	0	0	0
"ENSG00000209702"	0	0	0
"ENSG00000210049"	1	0	0
"ENSG00000210077"	1	0	0
"ENSG00000210082"	42817	84821	48609
"ENSG00000210100"	0	0	0
"ENSG00000210107"	0	0	0
"ENSG00000210112"	0	0	0
"ENSG00000210117"	0	0	0
"ENSG00000210127"	0	0	0
"ENSG00000210135"	0	0	0
"ENSG00000210140"	2	0	8
"ENSG00000210144"	6	0	9
"ENSG00000210151"	0	0	0
"ENSG00000210154"	0	0	0
"ENSG00000210156"	0	0	0
"ENSG00000210164"	0	0	0
"ENSG00000210174"	0	0	0
"ENSG00000210176"	0	0	1
"ENSG00000210181"	3	0	1
"ENSG00000210184"	0	0	0
"ENSG00000210191"	0	0	0
"ENSG00000210194"	0	0	0
"ENSG00000210195"	0	0	0
"ENSG00000210196"	1005	10	554
"ENSG00000210678"	1	2	5
"ENSG00000210709"	6	1	1
"ENSG00000210741"	0	2	1
"ENSG00000210825"	0	0	0
"ENSG00000210839"	2	0	0
"ENSG00000210841"	2	1	0
"ENSG00000211137"	0	2	2
"ENSG00000211445"	122	43	312
"ENSG00000211448"	393	88	1528
"ENSG00000211450"	45	1	10
"ENSG00000211451"	0	0	0
"ENSG00000211452"	22	19	39
"ENSG00000211454"	51	145	24
"ENSG00000211455"	1064	376	902
"ENSG00000211456"	2483	514	2891
"ENSG00000211459"	5295	23165	19687
"ENSG00000211460"	1386	291	2901
"ENSG00000211491"	0	9	5
"ENSG00000211513"	5	1	7
"ENSG00000211514"	1	2	6
"ENSG00000211520"	0	0	0
"ENSG00000211532"	0	2	0
"ENSG00000211538"	1	0	0
"ENSG00000211543"	0	0	0
"ENSG00000211563"	0	0	0
"ENSG00000211568"	0	1	0
"ENSG00000211574"	0	0	0
"ENSG00000211575"	0	0	1
"ENSG00000211578"	0	2	0
"ENSG00000211579"	0	0	0
"ENSG00000211580"	1	2	1
"ENSG00000211581"	5	0	3
"ENSG00000211582"	0	1	31
"ENSG00000211583"	0	0	0
"ENSG00000211584"	70	42	554
"ENSG00000211590"	0	0	0
"ENSG00000211591"	0	0	0
"ENSG00000211592"	2	0	0
"ENSG00000211593"	0	0	0
"ENSG00000211594"	0	0	0
"ENSG00000211595"	0	0	0
"ENSG00000211596"	0	0	0
"ENSG00000211597"	0	0	0
"ENSG00000211598"	0	0	0
"ENSG00000211599"	0	0	0
"ENSG00000211611"	0	0	0
"ENSG00000211623"	0	0	0
"ENSG00000211625"	0	1	0
"ENSG00000211626"	0	0	0
"ENSG00000211632"	0	3	0
"ENSG00000211633"	1	0	0
"ENSG00000211637"	0	0	0
"ENSG00000211638"	0	0	0
"ENSG00000211639"	0	0	0
"ENSG00000211640"	0	0	0
"ENSG00000211641"	0	0	0
"ENSG00000211642"	0	0	0
"ENSG00000211643"	34	3	6
"ENSG00000211644"	2	0	3
"ENSG00000211645"	1	2	5
"ENSG00000211647"	1	2	0
"ENSG00000211648"	0	0	0
"ENSG00000211649"	0	2	0
"ENSG00000211650"	0	0	0
"ENSG00000211651"	1	0	0
"ENSG00000211652"	0	1	0
"ENSG00000211653"	0	0	0
"ENSG00000211654"	0	0	0
"ENSG00000211655"	0	2	0
"ENSG00000211656"	5	1	0
"ENSG00000211657"	0	0	0
"ENSG00000211658"	0	0	0
"ENSG00000211659"	0	0	0
"ENSG00000211660"	0	0	0
"ENSG00000211661"	0	0	0
"ENSG00000211662"	0	0	0
"ENSG00000211663"	0	0	0
"ENSG00000211664"	0	0	0
"ENSG00000211665"	0	0	0
"ENSG00000211666"	0	0	0
"ENSG00000211667"	0	0	0
"ENSG00000211668"	0	0	0
"ENSG00000211669"	0	0	0
"ENSG00000211670"	0	0	0
"ENSG00000211672"	0	0	0
"ENSG00000211673"	0	0	0
"ENSG00000211674"	0	0	0
"ENSG00000211675"	0	0	0
"ENSG00000211676"	0	0	0
"ENSG00000211677"	0	0	0
"ENSG00000211678"	0	1	0
"ENSG00000211679"	0	0	0
"ENSG00000211680"	0	0	0
"ENSG00000211681"	0	0	0
"ENSG00000211682"	0	0	0
"ENSG00000211683"	0	2	3
"ENSG00000211684"	0	0	0
"ENSG00000211685"	0	0	0
"ENSG00000211687"	1	1	0
"ENSG00000211688"	0	2	0
"ENSG00000211689"	8	11	0
"ENSG00000211690"	0	0	0
"ENSG00000211691"	0	0	0
"ENSG00000211692"	2	1	0
"ENSG00000211693"	3	1	0
"ENSG00000211694"	0	0	0
"ENSG00000211695"	0	1	0
"ENSG00000211696"	0	0	0
"ENSG00000211697"	0	0	0
