"240827_n6"	"240905_n6"	"241210_ICP4"	"241210_n6"	"241213_ICP4"	"241213_n6"	"241217_n6"
"ENSG00000235158"	0	0	0	0	0	0	0
"ENSG00000235159"	3	5	6	0	4	0	3
"ENSG00000235160"	0	0	0	0	0	0	0
"ENSG00000235162"	48347	122484	39729	57062	44104	54448	23148
"ENSG00000235163"	0	0	0	0	0	0	0
"ENSG00000235165"	0	0	0	0	0	0	0
"ENSG00000235166"	0	0	0	0	4	2	0
"ENSG00000235168"	0	0	0	0	0	0	0
"ENSG00000235169"	0	0	7	3	0	1	2
"ENSG00000235170"	0	0	0	0	0	0	0
"ENSG00000235172"	0	0	0	4	13	0	0
"ENSG00000235173"	3223	4211	4117	4089	4168	2993	1765
"ENSG00000235174"	125	249	164	279	239	203	99
"ENSG00000235175"	20	8	0	9	16	34	13
"ENSG00000235180"	25	12	25	4	38	25	4
"ENSG00000235181"	0	0	0	0	0	0	0
"ENSG00000235182"	0	0	0	0	0	0	0
"ENSG00000235183"	0	0	0	1	0	0	0
"ENSG00000235185"	0	8	0	0	0	0	0
"ENSG00000235186"	0	0	0	0	0	0	0
"ENSG00000235189"	8	17	0	7	4	3	4
"ENSG00000235190"	0	0	0	0	0	0	0
"ENSG00000235191"	0	4	0	0	0	0	0
"ENSG00000235192"	0	0	11	1	4	3	2
"ENSG00000235194"	617	793	510	539	454	558	397
"ENSG00000235196"	0	0	0	0	0	0	0
"ENSG00000235197"	0	0	0	0	0	0	0
"ENSG00000235198"	0	0	0	0	0	0	0
"ENSG00000235199"	0	0	0	0	0	0	0
"ENSG00000235200"	0	0	0	0	0	6	0
"ENSG00000235201"	0	0	0	0	0	0	0
"ENSG00000235202"	0	0	0	0	0	0	0
"ENSG00000235203"	0	0	0	0	0	0	0
"ENSG00000235204"	7	11	7	14	4	12	8
"ENSG00000235205"	79	107	150	44	31	59	22
"ENSG00000235207"	1	3	2	1	1	0	0
"ENSG00000235208"	0	0	0	0	0	0	0
"ENSG00000235209"	0	4	0	0	6	0	0
"ENSG00000235211"	0	7	0	0	0	0	0
"ENSG00000235213"	0	0	10	0	0	0	0
"ENSG00000235214"	0	5	19	2	6	0	2
"ENSG00000235215"	0	0	0	0	0	0	1
"ENSG00000235217"	6	0	0	0	0	0	6
"ENSG00000235218"	0	0	0	0	0	0	0
"ENSG00000235219"	0	0	0	0	0	0	0
"ENSG00000235221"	0	5	0	4	0	0	0
"ENSG00000235224"	0	0	0	0	0	0	0
"ENSG00000235225"	2	9	1	7	7	17	8
"ENSG00000235226"	0	0	0	0	0	0	0
"ENSG00000235227"	0	0	0	0	0	0	0
"ENSG00000235232"	0	0	0	0	0	0	0
"ENSG00000235235"	0	0	0	0	0	0	0
"ENSG00000235236"	0	5	0	0	25	0	0
"ENSG00000235237"	0	0	0	0	0	0	0
"ENSG00000235238"	38	15	26	3	10	13	5
"ENSG00000235239"	0	0	0	0	0	0	0
"ENSG00000235240"	0	0	0	0	0	0	0
"ENSG00000235241"	0	0	0	0	0	0	0
"ENSG00000235242"	0	0	0	0	0	0	0
"ENSG00000235243"	0	0	0	0	0	0	0
"ENSG00000235244"	0	3	0	4	6	13	0
"ENSG00000235246"	0	0	0	10	0	0	0
"ENSG00000235248"	0	0	0	0	0	0	0
"ENSG00000235251"	1	0	0	1	0	1	0
"ENSG00000235253"	22	6	8	6	22	18	13
"ENSG00000235254"	0	2	0	0	0	2	0
"ENSG00000235256"	0	0	0	0	0	0	0
"ENSG00000235257"	60	165	134	94	115	148	38
"ENSG00000235258"	0	0	0	0	0	0	0
"ENSG00000235262"	0	0	0	0	0	0	3
"ENSG00000235263"	0	0	0	0	0	0	0
"ENSG00000235264"	0	0	0	1	4	2	0
"ENSG00000235266"	0	0	0	0	0	0	0
"ENSG00000235267"	0	0	0	0	3	0	0
"ENSG00000235268"	0	0	4	0	0	0	0
"ENSG00000235269"	0	0	27	6	17	14	0
"ENSG00000235271"	0	0	0	0	0	0	2
"ENSG00000235272"	1	3	5	4	16	9	2
"ENSG00000235274"	0	0	0	0	0	0	0
"ENSG00000235275"	0	0	1	1	0	0	0
"ENSG00000235277"	0	1	0	8	0	0	0
"ENSG00000235278"	0	0	0	0	0	0	0
"ENSG00000235279"	0	4	0	0	0	0	0
"ENSG00000235280"	0	0	0	0	0	0	0
"ENSG00000235281"	0	0	0	0	0	0	0
"ENSG00000235282"	0	1	0	0	0	0	0
"ENSG00000235284"	0	13	4	0	0	9	2
"ENSG00000235285"	0	0	0	0	0	0	0
"ENSG00000235286"	4	0	0	16	0	4	3
"ENSG00000235288"	0	0	0	0	0	0	0
"ENSG00000235289"	0	11	0	8	3	1	0
"ENSG00000235290"	0	15	10	4	9	0	1
"ENSG00000235292"	0	0	0	0	10	0	0
"ENSG00000235293"	35	0	11	0	17	2	1
"ENSG00000235294"	0	0	0	0	0	0	0
"ENSG00000235295"	0	0	0	0	0	0	0
"ENSG00000235296"	0	0	0	0	7	0	3
"ENSG00000235297"	4	7	5	20	8	19	6
"ENSG00000235298"	0	4	0	0	0	9	5
"ENSG00000235299"	0	0	0	0	0	0	0
"ENSG00000235300"	0	0	12	0	0	3	0
"ENSG00000235301"	0	5	0	0	0	0	0
"ENSG00000235303"	9	0	0	12	0	0	0
"ENSG00000235304"	0	0	0	0	0	2	0
"ENSG00000235306"	0	0	0	0	0	0	0
"ENSG00000235308"	0	0	0	18	1	0	2
"ENSG00000235310"	0	0	0	0	0	0	0
"ENSG00000235312"	0	0	0	0	0	0	0
"ENSG00000235313"	18	19	0	11	5	3	16
"ENSG00000235314"	207	98	57	123	64	68	52
"ENSG00000235315"	0	0	0	0	0	0	0
"ENSG00000235316"	57	80	69	82	40	56	56
"ENSG00000235318"	0	0	0	0	0	0	0
"ENSG00000235319"	6	21	16	10	10	3	7
"ENSG00000235321"	0	0	0	0	0	0	0
"ENSG00000235323"	0	0	0	0	0	0	0
"ENSG00000235325"	0	0	0	0	0	1	0
"ENSG00000235328"	0	18	0	0	0	0	9
"ENSG00000235329"	0	0	0	0	0	0	0
"ENSG00000235330"	0	0	0	0	0	0	0
"ENSG00000235332"	0	1	0	1	7	1	2
"ENSG00000235333"	0	0	0	0	0	0	0
"ENSG00000235334"	0	0	0	0	0	0	0
"ENSG00000235335"	0	0	0	0	0	0	0
"ENSG00000235337"	0	0	0	0	0	0	0
"ENSG00000235338"	0	0	0	0	0	0	0
"ENSG00000235339"	0	0	0	0	0	0	0
"ENSG00000235343"	0	0	0	0	9	0	0
"ENSG00000235347"	0	0	0	0	0	0	0
"ENSG00000235349"	0	3	0	0	0	7	0
"ENSG00000235350"	0	0	0	0	0	0	0
"ENSG00000235351"	14	4	0	5	0	4	3
"ENSG00000235352"	0	0	0	0	0	0	0
"ENSG00000235354"	0	0	1	6	2	1	3
"ENSG00000235356"	0	0	0	0	0	0	0
"ENSG00000235357"	0	0	0	0	0	0	0
"ENSG00000235358"	0	2	12	0	9	0	4
"ENSG00000235361"	0	0	0	0	0	0	0
"ENSG00000235363"	37	27	1	78	27	55	9
"ENSG00000235366"	0	0	0	0	1	0	2
"ENSG00000235368"	0	0	0	0	0	0	0
"ENSG00000235369"	0	0	0	0	0	0	0
"ENSG00000235370"	0	0	0	0	0	0	0
"ENSG00000235371"	15	19	0	1	1	6	3
"ENSG00000235374"	0	0	0	0	0	0	0
"ENSG00000235376"	3	9	14	2	10	14	11
"ENSG00000235377"	0	0	0	0	0	0	0
"ENSG00000235378"	0	0	1	0	6	0	3
"ENSG00000235379"	0	0	0	0	0	0	0
"ENSG00000235381"	0	39	0	23	34	22	7
"ENSG00000235382"	0	0	0	0	0	0	0
"ENSG00000235385"	421	339	863	579	298	351	66
"ENSG00000235386"	0	0	0	0	0	0	0
"ENSG00000235387"	12	6	25	30	31	9	5
"ENSG00000235389"	0	4	0	0	0	0	0
"ENSG00000235390"	0	0	0	0	0	1	0
"ENSG00000235397"	0	8	0	0	0	6	1
"ENSG00000235399"	0	0	0	0	0	0	0
"ENSG00000235400"	5	27	5	28	20	30	4
"ENSG00000235403"	0	0	0	0	0	6	4
"ENSG00000235407"	0	0	0	0	0	0	0
"ENSG00000235408"	12	55	0	25	8	5	21
"ENSG00000235410"	0	8	0	13	0	5	1
"ENSG00000235411"	3	16	73	32	9	6	7
"ENSG00000235412"	0	0	0	0	0	0	0
"ENSG00000235413"	10	4	20	23	15	0	4
"ENSG00000235414"	0	0	0	0	0	0	0
"ENSG00000235415"	0	0	0	0	0	0	0
"ENSG00000235416"	0	0	0	0	1	0	0
"ENSG00000235419"	0	0	14	0	0	4	2
"ENSG00000235420"	0	0	0	0	0	0	0
"ENSG00000235421"	0	0	0	0	0	0	1
"ENSG00000235422"	0	0	0	0	0	0	0
"ENSG00000235424"	1	0	0	0	0	0	0
"ENSG00000235425"	0	0	0	0	0	0	0
"ENSG00000235426"	0	0	0	0	0	1	1
"ENSG00000235427"	0	0	0	0	0	0	2
"ENSG00000235429"	0	0	0	0	0	0	0
"ENSG00000235430"	0	0	0	0	3	0	0
"ENSG00000235431"	0	0	0	0	0	3	0
"ENSG00000235432"	0	0	0	0	0	0	0
"ENSG00000235433"	0	0	0	0	0	0	0
"ENSG00000235434"	0	0	0	0	0	0	0
"ENSG00000235435"	0	0	0	0	0	0	0
"ENSG00000235436"	0	0	0	0	0	0	0
"ENSG00000235437"	2599	1714	2104	1487	2106	1552	1274
"ENSG00000235438"	0	0	0	0	0	0	0
"ENSG00000235440"	0	0	0	0	0	0	0
"ENSG00000235444"	0	0	0	0	0	1	0
"ENSG00000235445"	0	0	0	0	0	0	0
"ENSG00000235446"	0	0	0	0	5	0	0
"ENSG00000235447"	0	0	0	0	0	0	0
"ENSG00000235448"	34	21	81	34	49	6	4
"ENSG00000235449"	31	3	4	3	1	9	3
"ENSG00000235450"	0	3	0	0	0	11	0
"ENSG00000235451"	0	0	0	0	0	0	0
"ENSG00000235453"	150	287	202	192	289	246	99
"ENSG00000235454"	0	14	24	0	5	4	8
"ENSG00000235455"	0	0	0	0	0	0	0
"ENSG00000235459"	15	3	10	17	1	1	0
"ENSG00000235461"	0	0	0	0	0	0	0
"ENSG00000235462"	0	0	0	0	0	0	0
"ENSG00000235463"	0	0	0	0	0	0	0
"ENSG00000235464"	0	0	0	0	0	0	0
"ENSG00000235467"	0	0	0	0	0	0	0
"ENSG00000235469"	0	0	0	0	0	0	0
"ENSG00000235470"	0	0	0	0	0	0	0
"ENSG00000235472"	1	2	2	3	1	2	0
"ENSG00000235478"	2	15	14	0	0	10	1
"ENSG00000235479"	0	0	0	0	0	0	0
"ENSG00000235480"	0	0	0	4	0	0	0
"ENSG00000235481"	8	16	22	25	6	23	5
"ENSG00000235482"	0	0	0	0	0	0	0
"ENSG00000235483"	0	0	0	0	0	0	0
"ENSG00000235485"	0	0	1	0	1	0	0
"ENSG00000235486"	0	0	0	0	0	0	0
"ENSG00000235488"	0	0	20	13	11	0	6
"ENSG00000235489"	14	36	8	10	12	16	13
"ENSG00000235491"	0	0	0	0	0	0	0
"ENSG00000235492"	0	0	0	0	0	0	0
"ENSG00000235493"	0	0	0	0	0	1	0
"ENSG00000235494"	0	2	0	0	0	0	0
"ENSG00000235495"	0	0	0	0	0	4	0
"ENSG00000235497"	0	0	0	0	0	0	0
"ENSG00000235499"	0	0	0	0	0	0	0
"ENSG00000235500"	18	3	35	0	2	21	6
"ENSG00000235501"	239	401	354	323	407	344	97
"ENSG00000235503"	0	0	0	0	0	0	0
"ENSG00000235505"	0	0	0	0	0	0	0
"ENSG00000235508"	104	88	144	198	94	156	105
"ENSG00000235510"	0	0	0	0	0	0	1
"ENSG00000235511"	0	0	0	0	0	0	0
"ENSG00000235512"	0	0	0	0	0	0	0
"ENSG00000235513"	110	48	53	105	114	71	29
"ENSG00000235514"	0	0	0	0	0	0	0
"ENSG00000235518"	0	0	0	0	0	0	0
"ENSG00000235519"	0	0	0	0	0	0	0
"ENSG00000235521"	0	0	0	0	0	0	0
"ENSG00000235522"	0	0	0	0	0	0	0
"ENSG00000235523"	0	0	0	0	0	0	0
"ENSG00000235524"	0	0	0	0	0	0	0
"ENSG00000235525"	0	0	0	0	2	0	1
"ENSG00000235526"	17	23	31	11	10	15	7
"ENSG00000235527"	27	11	13	8	5	8	6
"ENSG00000235529"	15	0	9	6	3	15	2
"ENSG00000235530"	82	161	245	147	172	81	37
"ENSG00000235531"	859	535	1017	517	774	614	328
"ENSG00000235532"	0	4	23	4	8	9	8
"ENSG00000235533"	0	0	0	0	0	0	0
"ENSG00000235534"	0	0	0	0	0	0	0
"ENSG00000235535"	0	0	0	0	0	0	1
"ENSG00000235537"	0	0	0	6	0	4	0
"ENSG00000235538"	0	0	0	0	0	0	0
"ENSG00000235539"	0	0	0	0	0	0	0
"ENSG00000235544"	0	0	0	0	0	0	0
"ENSG00000235545"	28	36	46	15	46	45	9
"ENSG00000235546"	20	0	0	0	0	0	0
"ENSG00000235547"	1	0	0	0	0	0	0
"ENSG00000235548"	0	0	0	0	0	0	0
"ENSG00000235549"	0	0	0	0	0	0	0
"ENSG00000235550"	0	0	1	0	0	0	0
"ENSG00000235552"	0	0	0	0	0	0	0
"ENSG00000235554"	0	2	2	4	4	5	5
"ENSG00000235555"	21	8	10	0	7	0	1
"ENSG00000235558"	0	0	0	0	0	0	0
"ENSG00000235559"	55	30	36	41	39	13	10
"ENSG00000235560"	40	23	20	15	7	19	14
"ENSG00000235563"	16	19	12	14	27	16	8
"ENSG00000235564"	0	0	0	0	0	0	0
"ENSG00000235568"	32	0	23	16	32	12	3
"ENSG00000235570"	0	0	0	0	0	0	0
"ENSG00000235571"	0	0	0	0	2	0	0
"ENSG00000235572"	0	0	0	0	0	0	0
"ENSG00000235573"	0	10	0	0	0	0	2
"ENSG00000235574"	0	0	0	0	0	0	0
"ENSG00000235575"	0	0	0	0	0	0	0
"ENSG00000235576"	0	0	0	20	4	14	0
"ENSG00000235578"	0	0	0	0	0	0	0
"ENSG00000235579"	0	1	0	0	1	0	0
"ENSG00000235581"	0	0	0	0	0	0	0
"ENSG00000235582"	0	0	2	8	1	3	0
"ENSG00000235583"	0	0	0	0	0	0	0
"ENSG00000235584"	0	0	3	0	0	0	0
"ENSG00000235586"	6	12	23	25	7	25	6
"ENSG00000235587"	78	116	114	100	70	95	44
"ENSG00000235590"	0	20	11	0	21	8	8
"ENSG00000235592"	0	0	0	0	4	0	0
"ENSG00000235593"	0	0	0	0	0	0	0
"ENSG00000235594"	0	0	0	0	0	0	0
"ENSG00000235595"	0	0	0	0	1	0	0
"ENSG00000235597"	0	0	0	0	15	5	0
"ENSG00000235598"	0	0	0	0	0	0	0
"ENSG00000235601"	0	0	0	0	0	0	0
"ENSG00000235602"	5	0	1	0	7	2	4
"ENSG00000235605"	0	5	7	8	7	2	1
"ENSG00000235606"	0	0	0	0	0	0	0
"ENSG00000235608"	0	0	0	1	0	0	0
"ENSG00000235609"	0	0	0	0	0	0	0
"ENSG00000235610"	0	0	0	0	0	0	0
"ENSG00000235612"	0	0	0	0	0	0	0
"ENSG00000235613"	1	0	3	0	8	1	0
"ENSG00000235615"	0	0	0	0	0	0	0
"ENSG00000235616"	0	0	0	0	5	1	0
"ENSG00000235617"	0	0	0	0	0	0	0
"ENSG00000235618"	0	0	14	0	0	0	0
"ENSG00000235619"	0	0	0	0	0	0	0
"ENSG00000235620"	0	0	0	0	0	0	0
"ENSG00000235621"	0	0	0	0	6	0	0
"ENSG00000235623"	0	0	0	0	0	0	0
"ENSG00000235625"	0	0	0	0	0	0	0
"ENSG00000235626"	0	0	0	0	0	1	0
"ENSG00000235627"	0	0	0	4	0	0	0
"ENSG00000235628"	0	0	0	0	0	0	0
"ENSG00000235629"	0	6	10	3	0	0	2
"ENSG00000235631"	0	14	0	16	0	19	0
"ENSG00000235635"	0	0	0	0	0	5	0
"ENSG00000235636"	336	378	342	227	196	310	136
"ENSG00000235637"	0	0	0	0	0	0	0
"ENSG00000235638"	0	0	0	0	0	0	0
"ENSG00000235639"	0	0	0	0	0	0	0
"ENSG00000235640"	0	0	0	0	0	0	0
"ENSG00000235641"	23	4	0	0	0	0	1
"ENSG00000235642"	0	0	0	0	0	0	0
"ENSG00000235643"	13	22	32	10	5	7	1
"ENSG00000235644"	0	0	0	0	0	1	1
"ENSG00000235645"	0	0	0	0	0	0	0
"ENSG00000235646"	0	0	0	0	0	0	0
"ENSG00000235647"	0	0	0	0	0	0	0
"ENSG00000235649"	0	0	8	0	4	2	0
"ENSG00000235651"	21	0	1	2	0	0	0
"ENSG00000235652"	334	131	278	191	201	165	74
"ENSG00000235653"	0	0	0	0	0	0	0
"ENSG00000235655"	154	270	152	108	150	200	94
"ENSG00000235656"	0	0	0	0	0	0	1
"ENSG00000235659"	0	0	0	0	0	0	0
"ENSG00000235660"	11	27	24	19	5	18	11
"ENSG00000235661"	0	11	0	4	0	4	0
"ENSG00000235663"	0	0	0	0	0	0	0
"ENSG00000235665"	0	2	0	0	0	0	1
"ENSG00000235669"	0	0	0	0	0	0	0
"ENSG00000235670"	0	5	0	0	0	1	0
"ENSG00000235672"	10	8	0	15	1	4	13
"ENSG00000235673"	0	0	0	0	4	0	0
"ENSG00000235674"	2	2	0	9	0	0	0
"ENSG00000235677"	0	13	25	11	6	1	7
"ENSG00000235678"	0	0	0	0	0	0	0
"ENSG00000235679"	0	0	0	0	0	0	0
"ENSG00000235681"	3	4	7	0	2	0	12
"ENSG00000235683"	0	0	15	0	0	0	2
"ENSG00000235685"	0	0	0	0	0	0	0
"ENSG00000235686"	0	0	0	0	0	0	0
"ENSG00000235687"	0	0	0	0	0	0	0
"ENSG00000235688"	3	33	7	5	5	8	13
"ENSG00000235689"	0	9	0	0	0	0	0
"ENSG00000235690"	0	0	0	0	0	0	0
"ENSG00000235695"	0	0	0	1	0	0	1
"ENSG00000235698"	2	4	0	4	2	2	1
"ENSG00000235699"	0	0	0	0	0	0	0
"ENSG00000235700"	0	0	6	0	9	0	3
"ENSG00000235701"	0	0	0	0	2	0	1
"ENSG00000235703"	14	59	47	18	46	40	49
"ENSG00000235705"	0	0	0	0	0	0	0
"ENSG00000235706"	44	23	23	71	43	36	11
"ENSG00000235707"	0	0	0	0	0	0	0
"ENSG00000235710"	0	0	0	0	0	0	0
"ENSG00000235711"	0	0	8	6	10	8	2
"ENSG00000235713"	0	0	0	0	0	0	0
"ENSG00000235716"	0	0	0	0	0	13	0
"ENSG00000235717"	0	0	0	0	0	0	0
"ENSG00000235718"	0	0	9	0	0	0	0
"ENSG00000235720"	16	20	20	7	4	0	0
"ENSG00000235721"	0	7	0	0	0	0	0
"ENSG00000235724"	5	5	36	10	3	0	5
"ENSG00000235725"	1	1	0	0	0	4	0
"ENSG00000235726"	6	0	0	0	10	0	0
"ENSG00000235728"	0	0	0	0	0	0	0
"ENSG00000235729"	0	0	0	0	0	0	0
"ENSG00000235730"	0	0	0	0	0	0	0
"ENSG00000235731"	0	0	0	4	0	3	1
"ENSG00000235734"	20	69	54	16	46	42	18
"ENSG00000235735"	0	0	0	0	0	0	0
"ENSG00000235737"	0	0	0	0	0	0	0
"ENSG00000235738"	0	0	0	0	0	0	0
"ENSG00000235740"	0	0	16	9	0	0	0
"ENSG00000235741"	0	0	0	0	3	0	1
"ENSG00000235742"	0	0	0	0	0	0	0
"ENSG00000235743"	0	0	0	0	0	0	0
"ENSG00000235746"	0	0	0	0	0	0	0
"ENSG00000235748"	0	0	0	0	0	0	0
"ENSG00000235749"	0	0	0	0	0	0	0
"ENSG00000235750"	593	477	646	338	535	324	173
"ENSG00000235756"	0	3	0	0	1	0	0
"ENSG00000235759"	0	0	0	0	0	0	0
"ENSG00000235760"	0	0	0	0	0	0	0
"ENSG00000235761"	0	0	0	0	0	0	0
"ENSG00000235763"	0	0	0	1	0	0	0
"ENSG00000235768"	0	0	10	0	0	0	1
"ENSG00000235770"	101	148	271	168	287	199	59
"ENSG00000235772"	0	0	0	0	0	2	0
"ENSG00000235774"	0	0	11	0	0	0	0
"ENSG00000235775"	0	0	0	0	0	0	0
"ENSG00000235776"	37	56	33	40	58	65	30
"ENSG00000235777"	0	0	6	0	0	0	1
"ENSG00000235778"	0	0	0	0	0	0	0
"ENSG00000235779"	0	5	0	0	1	0	0
"ENSG00000235780"	0	0	0	0	0	0	0
"ENSG00000235781"	54	18	0	11	10	11	6
"ENSG00000235782"	8	62	10	54	38	26	3
"ENSG00000235784"	0	0	0	0	0	0	0
"ENSG00000235785"	0	0	1	0	0	0	0
"ENSG00000235786"	0	0	0	0	0	0	0
"ENSG00000235787"	0	0	1	0	1	0	0
"ENSG00000235790"	140	162	132	65	76	60	48
"ENSG00000235794"	0	0	0	0	0	0	0
"ENSG00000235795"	0	3	2	0	6	0	4
"ENSG00000235797"	0	0	0	0	0	9	0
"ENSG00000235802"	0	0	16	0	3	7	4
"ENSG00000235803"	0	0	0	0	0	0	0
"ENSG00000235804"	0	0	0	0	0	0	0
"ENSG00000235805"	0	1	0	0	0	0	0
"ENSG00000235806"	0	8	0	0	10	19	1
"ENSG00000235808"	0	0	1	1	0	0	0
"ENSG00000235810"	0	0	0	0	0	0	0
"ENSG00000235811"	0	0	0	0	0	0	0
"ENSG00000235812"	0	0	0	0	0	0	0
"ENSG00000235813"	30	0	5	20	10	0	2
"ENSG00000235815"	0	0	0	0	0	0	0
"ENSG00000235816"	0	0	0	0	0	0	0
"ENSG00000235817"	0	1	1	1	0	0	0
"ENSG00000235818"	0	0	0	0	0	0	0
"ENSG00000235819"	12	0	0	0	0	0	0
"ENSG00000235820"	0	0	0	0	0	0	3
"ENSG00000235821"	3	28	14	10	15	11	2
"ENSG00000235823"	417	200	265	284	244	218	143
"ENSG00000235824"	0	0	0	0	0	0	0
"ENSG00000235827"	0	0	0	0	0	0	0
"ENSG00000235828"	0	0	0	0	0	0	0
"ENSG00000235829"	0	0	0	0	1	0	0
"ENSG00000235830"	0	0	0	0	8	2	4
"ENSG00000235831"	38	41	48	104	46	68	14
"ENSG00000235832"	0	10	0	0	0	0	0
"ENSG00000235833"	0	0	0	0	0	0	0
"ENSG00000235834"	0	0	0	0	3	0	0
"ENSG00000235836"	0	0	0	0	0	0	0
"ENSG00000235837"	4	17	0	0	3	6	5
"ENSG00000235838"	0	0	0	0	0	3	0
"ENSG00000235840"	0	0	0	0	0	0	0
"ENSG00000235843"	0	0	0	0	0	0	0
"ENSG00000235845"	0	0	0	0	0	0	0
"ENSG00000235847"	631	877	566	1031	412	390	190
"ENSG00000235848"	42	21	48	41	31	6	3
"ENSG00000235849"	0	0	0	0	0	0	0
"ENSG00000235852"	18	0	22	24	7	1	3
"ENSG00000235855"	0	0	0	0	0	0	0
"ENSG00000235857"	0	0	0	0	0	0	0
"ENSG00000235858"	0	0	0	0	0	0	0
"ENSG00000235859"	29	90	37	19	25	40	10
"ENSG00000235861"	0	0	0	0	0	0	0
"ENSG00000235862"	0	0	0	0	0	0	0
"ENSG00000235863"	139	214	222	276	206	136	64
"ENSG00000235864"	0	0	0	0	0	0	0
"ENSG00000235865"	108	38	84	33	55	33	28
"ENSG00000235868"	0	0	0	0	0	0	0
"ENSG00000235869"	0	0	0	0	0	0	0
"ENSG00000235871"	0	0	0	0	0	0	0
"ENSG00000235872"	17	3	14	0	0	14	2
"ENSG00000235875"	0	5	0	4	4	0	0
"ENSG00000235876"	0	0	10	0	0	0	0
"ENSG00000235879"	0	0	0	0	1	0	2
"ENSG00000235880"	0	0	0	0	0	0	0
"ENSG00000235881"	0	0	0	0	0	0	0
"ENSG00000235885"	65	41	65	71	46	33	8
"ENSG00000235886"	0	0	0	0	0	0	0
"ENSG00000235887"	0	0	0	0	0	0	0
"ENSG00000235888"	33	36	3	0	13	13	10
"ENSG00000235890"	27	19	33	39	48	12	10
"ENSG00000235892"	0	0	0	1	0	0	0
"ENSG00000235893"	0	0	0	0	0	0	0
"ENSG00000235895"	0	0	0	0	0	0	0
"ENSG00000235897"	7	4	21	7	19	7	11
"ENSG00000235899"	0	0	0	1	0	8	0
"ENSG00000235901"	0	8	0	0	0	0	0
"ENSG00000235902"	0	0	0	0	0	0	0
"ENSG00000235903"	52	67	4	26	29	5	4
"ENSG00000235904"	103	253	248	228	200	200	76
"ENSG00000235907"	0	0	0	0	5	0	3
"ENSG00000235908"	0	4	0	0	0	4	2
"ENSG00000235910"	16	6	0	0	4	11	7
"ENSG00000235911"	0	0	0	0	0	0	0
"ENSG00000235912"	59	19	56	56	56	102	36
"ENSG00000235914"	0	0	5	3	7	0	1
"ENSG00000235916"	0	6	4	0	3	4	3
"ENSG00000235917"	0	0	0	0	0	0	0
"ENSG00000235919"	70	90	78	125	124	68	47
"ENSG00000235920"	0	0	0	0	0	0	0
"ENSG00000235922"	0	0	0	0	0	0	0
"ENSG00000235924"	0	0	0	0	0	0	0
"ENSG00000235926"	0	0	0	0	0	0	0
"ENSG00000235927"	144	167	90	86	155	111	67
"ENSG00000235929"	0	0	0	0	0	0	0
"ENSG00000235930"	0	0	0	0	0	0	0
"ENSG00000235931"	0	0	0	0	0	0	1
"ENSG00000235932"	0	0	0	0	0	0	0
"ENSG00000235933"	5	0	0	9	0	0	0
"ENSG00000235934"	23	4	47	13	28	24	3
"ENSG00000235937"	1	1	0	0	0	0	0
"ENSG00000235939"	0	0	0	0	0	0	0
"ENSG00000235940"	0	0	0	0	0	0	0
"ENSG00000235942"	0	0	0	0	0	0	0
"ENSG00000235943"	0	0	0	0	0	0	0
"ENSG00000235944"	0	0	0	0	0	0	0
"ENSG00000235945"	0	0	0	0	0	0	0
"ENSG00000235946"	18	0	12	5	0	0	3
"ENSG00000235947"	34	2	27	8	3	7	19
"ENSG00000235951"	0	0	0	0	0	0	0
"ENSG00000235954"	290	340	242	292	268	225	127
"ENSG00000235955"	0	0	0	0	0	0	0
"ENSG00000235957"	20	1	4	8	5	24	8
"ENSG00000235958"	23	10	10	4	13	3	1
"ENSG00000235959"	7	11	0	5	0	1	4
"ENSG00000235961"	87	36	148	135	105	67	52
"ENSG00000235962"	0	1	0	1	2	0	0
"ENSG00000235963"	0	0	0	0	0	0	0
"ENSG00000235964"	0	0	0	0	0	0	0
"ENSG00000235965"	0	0	0	0	0	0	0
"ENSG00000235967"	0	0	0	0	0	0	0
"ENSG00000235968"	0	0	0	0	0	0	0
"ENSG00000235969"	0	0	0	0	0	0	0
"ENSG00000235972"	0	0	0	0	0	0	0
"ENSG00000235974"	6	3	0	0	1	0	2
"ENSG00000235975"	0	0	0	0	0	0	0
"ENSG00000235976"	0	0	0	0	0	0	0
"ENSG00000235978"	0	7	16	28	19	5	0
"ENSG00000235979"	11	4	0	35	6	1	12
"ENSG00000235981"	0	0	0	0	0	0	0
"ENSG00000235984"	0	0	0	0	0	0	2
"ENSG00000235988"	0	0	0	0	0	0	0
"ENSG00000235989"	0	4	0	17	0	0	6
"ENSG00000235990"	0	0	0	0	0	0	0
"ENSG00000235991"	0	0	0	0	0	0	0
"ENSG00000235992"	0	0	0	0	0	0	0
"ENSG00000235993"	0	0	0	0	0	0	0
"ENSG00000235994"	0	0	0	0	0	0	0
"ENSG00000235995"	0	0	0	0	0	0	0
"ENSG00000235996"	0	0	0	0	0	0	0
"ENSG00000235997"	36	4	13	9	5	9	3
"ENSG00000235998"	0	0	0	0	0	0	0
"ENSG00000236003"	0	0	0	0	1	0	1
"ENSG00000236004"	0	0	0	0	0	0	0
"ENSG00000236005"	0	0	0	1	4	1	1
"ENSG00000236007"	0	0	0	0	0	0	0
"ENSG00000236008"	0	4	36	7	6	0	0
"ENSG00000236009"	0	0	0	0	0	0	0
"ENSG00000236012"	0	1	0	0	0	0	0
"ENSG00000236013"	32	41	30	62	21	45	17
"ENSG00000236015"	21	21	0	8	20	3	9
