"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"	"annotation_short"
"351"	"ENSG00000128512"	"7"	112205498	112205585	88	"*"	"KOS_4h_peak_1343"	16	"."	4.28434	5.83183	1.69221	30	"Promoter (<=1kb)"	7	111862883	112206394	343512	2	"ENST00000476846"	809	"DOCK4"	"Promoter (<=1kb)"
"352"	"ENSG00000128591"	"7"	128830859	128830942	84	"*"	"KOS_4h_peak_1349"	53	"."	6.22582	10.09477	5.37431	40	"Promoter (<=1kb)"	7	128830426	128859274	28849	1	"ENST00000346177"	433	"FLNC"	"Promoter (<=1kb)"
"353"	"ENSG00000128596"	"7"	128791530	128791582	53	"*"	"KOS_4h_peak_1348"	74	"."	7.83588	12.4138	7.49018	27	"Promoter (<=1kb)"	7	128791618	128794522	2905	1	"ENST00000488925"	-36	"CCDC136"	"Promoter (<=1kb)"
"354"	"ENSG00000128731"	"15"	28322129	28322252	124	"*"	"KOS_4h_peak_417"	24	"."	4.08924	6.80383	2.46867	23	"Promoter (<=1kb)"	15	28111040	28322179	211140	2	"ENST00000261609"	0	"HERC2"	"Promoter (<=1kb)"
"355"	"ENSG00000128789"	"18"	12657903	12657987	85	"*"	"KOS_4h_peak_700"	49	"."	6.16127	9.65169	4.98526	45	"Promoter (<=1kb)"	18	12658043	12663471	5429	1	"ENST00000585853"	-56	"PSMG2"	"Promoter (<=1kb)"
"357"	"ENSG00000128973"	"15"	68210954	68211034	81	"*"	"KOS_4h_peak_435"	83	"."	8.36025	13.3422	8.34938	38	"Promoter (2-3kb)"	15	68208173	68213143	4971	2	"ENST00000636674"	2109	"CLN6"	"Promoter (2-3kb)"
"358"	"ENSG00000129195"	"17"	6444157	6444248	92	"*"	"KOS_4h_peak_557"	23	"."	4.91141	6.60056	2.32448	47	"Promoter (<=1kb)"	17	6444441	6451065	6625	1	"ENST00000250056"	-193	"PIMREG"	"Promoter (<=1kb)"
"359"	"ENSG00000129347"	"19"	10565905	10565998	94	"*"	"KOS_4h_peak_746"	112	"."	8.56868	16.43345	11.22945	45	"Promoter (<=1kb)"	19	10553085	10565997	12913	2	"ENST00000536689"	0	"KRI1"	"Promoter (<=1kb)"
"360"	"ENSG00000129474"	"14"	22981635	22981692	58	"*"	"KOS_4h_peak_372"	23	"."	4.60744	6.58653	2.31478	7	"Promoter (<=1kb)"	14	22978612	22981586	2975	2	"ENST00000553736"	-49	"AJUBA"	"Promoter (<=1kb)"
"361"	"ENSG00000129925"	"16"	381923	382005	83	"*"	"KOS_4h_peak_447"	63	"."	7.09426	11.16454	6.34636	31	"Promoter (<=1kb)"	16	370788	381978	11191	2	"ENST00000431232"	0	"PGAP6"	"Promoter (<=1kb)"
"362"	"ENSG00000130202"	"19"	44846484	44846603	120	"*"	"KOS_4h_peak_779"	15	"."	3.46005	5.61827	1.53227	117	"Promoter (<=1kb)"	19	44846297	44889223	42927	1	"ENST00000252483"	187	"NECTIN2"	"Promoter (<=1kb)"
"363"	"ENSG00000130202"	"19"	44845779	44845864	86	"*"	"KOS_4h_peak_778"	66	"."	7.10223	11.51087	6.66428	45	"Promoter (<=1kb)"	19	44846175	44878941	32767	1	"ENST00000252485"	-311	"NECTIN2"	"Promoter (<=1kb)"
"364"	"ENSG00000130309"	"19"	17555849	17555972	124	"*"	"KOS_4h_peak_759"	48	"."	5.86401	9.51007	4.85513	103	"Promoter (<=1kb)"	19	17555801	17573798	17998	1	"ENST00000692764"	48	"COLGALT1"	"Promoter (<=1kb)"
"365"	"ENSG00000130382"	"19"	6280030	6280137	108	"*"	"KOS_4h_peak_741"	26	"."	3.92138	7.01858	2.66451	32	"Promoter (<=1kb)"	19	6210381	6279975	69595	2	"ENST00000252674"	-55	"MLLT1"	"Promoter (<=1kb)"
"366"	"ENSG00000130522"	"19"	18281158	18281211	54	"*"	"KOS_4h_peak_760"	56	"."	6.424	10.41433	5.66213	14	"Promoter (<=1kb)"	19	18280019	18280929	911	2	"ENST00000600972"	-229	"JUND"	"Promoter (<=1kb)"
"367"	"ENSG00000130529"	"19"	49157863	49157914	52	"*"	"KOS_4h_peak_793"	47	"."	6.36424	9.40432	4.75462	15	"Promoter (<=1kb)"	19	49157832	49211749	53918	1	"ENST00000598502"	31	"TRPM4"	"Promoter (<=1kb)"
"370"	"ENSG00000130713"	"9"	130693682	130693849	168	"*"	"KOS_4h_peak_1449"	50	"."	5.99808	9.72704	5.04225	93	"Promoter (<=1kb)"	9	130693721	130703847	10127	1	"ENST00000491115"	0	"EXOSC2"	"Promoter (<=1kb)"
"372"	"ENSG00000130726"	"19"	58544526	58544581	56	"*"	"KOS_4h_peak_809"	38	"."	5.59534	8.43367	3.89839	40	"Promoter (<=1kb)"	19	58544473	58550715	6243	1	"ENST00000341753"	53	"TRIM28"	"Promoter (<=1kb)"
"373"	"ENSG00000130726"	"19"	58545004	58545118	115	"*"	"KOS_4h_peak_810"	79	"."	7.28338	12.96905	7.99772	40	"Promoter (<=1kb)"	19	58545167	58545896	730	1	"ENST00000597968"	-49	"TRIM28"	"Promoter (<=1kb)"
"374"	"ENSG00000130748"	"19"	47048543	47048630	88	"*"	"KOS_4h_peak_784"	33	"."	5.39061	7.82393	3.34571	75	"Promoter (<=1kb)"	19	47045909	47048624	2716	2	"ENST00000253047"	0	"TMEM160"	"Promoter (<=1kb)"
"375"	"ENSG00000130749"	"19"	47112480	47112564	85	"*"	"KOS_4h_peak_785"	95	"."	8.5692	14.66502	9.58473	38	"Promoter (<=1kb)"	19	47090019	47112247	22229	2	"ENST00000597069"	-233	"ZC3H4"	"Promoter (<=1kb)"
"376"	"ENSG00000130770"	"1"	28236226	28236324	99	"*"	"KOS_4h_peak_37"	24	"."	4.08924	6.80383	2.46867	23	"Promoter (<=1kb)"	1	28236154	28238098	1945	1	"ENST00000465645"	72	"ATP5IF1"	"Promoter (<=1kb)"
"377"	"ENSG00000130775"	"1"	27872518	27872577	60	"*"	"KOS_4h_peak_36"	41	"."	5.78238	8.73186	4.1417	21	"Promoter (<=1kb)"	1	27872543	27886685	14143	1	"ENST00000328928"	0	"THEMIS2"	"Promoter (<=1kb)"
"378"	"ENSG00000130821"	"X"	153687972	153688034	63	"*"	"KOS_4h_peak_1496"	42	"."	6.15631	8.85138	4.25253	37	"Promoter (<=1kb)"	23	153687926	153696588	8663	1	"ENST00000253122"	46	"SLC6A8"	"Promoter (<=1kb)"
"379"	"ENSG00000131370"	"3"	15332507	15332610	104	"*"	"KOS_4h_peak_1033"	91	"."	8.26222	14.15851	9.10894	80	"Promoter (<=1kb)"	3	15254353	15332586	78234	2	"ENST00000383791"	0	"SH3BP5"	"Promoter (<=1kb)"
"380"	"ENSG00000131473"	"17"	41918502	41918615	114	"*"	"KOS_4h_peak_588"	77	"."	7.34171	12.65555	7.71746	82	"Promoter (<=1kb)"	17	41866918	41918951	52034	2	"ENST00000352035"	336	"ACLY"	"Promoter (<=1kb)"
"381"	"ENSG00000131473"	"17"	41918824	41918914	91	"*"	"KOS_4h_peak_589"	59	"."	6.42651	10.78055	5.99391	51	"Promoter (<=1kb)"	17	41866918	41918951	52034	2	"ENST00000352035"	37	"ACLY"	"Promoter (<=1kb)"
"382"	"ENSG00000131584"	"1"	1307877	1307928	52	"*"	"KOS_4h_peak_4"	49	"."	5.95046	9.65003	4.98526	28	"Promoter (<=1kb)"	1	1292391	1307930	15540	2	"ENST00000354700"	2	"ACAP3"	"Promoter (<=1kb)"
"383"	"ENSG00000131591"	"1"	1108806	1109169	364	"*"	"KOS_4h_peak_3"	326	"."	15.85206	39.07087	32.63005	260	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2679	"C1orf159"	"Promoter (2-3kb)"
"384"	"ENSG00000131591"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"
"385"	"ENSG00000131711"	"5"	72107643	72107718	76	"*"	"KOS_4h_peak_1156"	63	"."	5.99776	11.20445	6.37681	26	"Promoter (<=1kb)"	5	72107486	72195314	87829	1	"ENST00000511641"	157	"MAP1B"	"Promoter (<=1kb)"
"386"	"ENSG00000131981"	"14"	55129157	55129209	53	"*"	"KOS_4h_peak_383"	32	"."	5.14121	7.7109	3.24218	24	"Promoter (<=1kb)"	14	55129252	55145423	16172	1	"ENST00000254301"	-43	"LGALS3"	"Promoter (<=1kb)"
"387"	"ENSG00000132002"	"19"	14518293	14518357	65	"*"	"KOS_4h_peak_754"	31	"."	4.66492	7.53009	3.10331	34	"Promoter (<=1kb)"	19	14514769	14518397	3629	2	"ENST00000254322"	40	"DNAJB1"	"Promoter (<=1kb)"
"388"	"ENSG00000132155"	"3"	12664152	12664203	52	"*"	"KOS_4h_peak_1031"	58	"."	6.5279	10.58185	5.82243	33	"Promoter (<=1kb)"	3	12582101	12664187	82087	2	"ENST00000688543"	0	"RAF1"	"Promoter (<=1kb)"
"389"	"ENSG00000132199"	"18"	712243	712366	124	"*"	"KOS_4h_peak_684"	79	"."	7.28338	12.96905	7.99772	56	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	157	"ENOSF1"	"Promoter (<=1kb)"
"390"	"ENSG00000132199"	"18"	712455	712622	168	"*"	"KOS_4h_peak_685"	183	"."	8.99633	23.99704	18.36287	45	"Promoter (<=1kb)"	18	673900	712593	38694	2	"ENST00000340116"	0	"ENOSF1"	"Promoter (<=1kb)"
"391"	"ENSG00000132463"	"4"	70840191	70840251	61	"*"	"KOS_4h_peak_1120"	236	"."	10.35941	29.6505	23.6859	42	"Promoter (<=1kb)"	4	70819531	70839897	20367	2	"ENST00000505068"	-294	"GRSF1"	"Promoter (<=1kb)"
"392"	"ENSG00000132510"	"17"	7844800	7844909	110	"*"	"KOS_4h_peak_563"	17	"."	3.9985	5.86251	1.70983	4	"Promoter (<=1kb)"	17	7844915	7847571	2657	1	"ENST00000570632"	-6	"KDM6B"	"Promoter (<=1kb)"
"393"	"ENSG00000132604"	"16"	69385843	69385894	52	"*"	"KOS_4h_peak_512"	42	"."	5.88067	8.88893	4.28573	28	"Promoter (<=1kb)"	16	69370211	69385988	15778	2	"ENST00000567296"	94	"TERF2"	"Promoter (<=1kb)"
"394"	"ENSG00000132773"	"1"	45340201	45340265	65	"*"	"KOS_4h_peak_60"	41	"."	5.56964	8.70312	4.11695	37	"Promoter (<=1kb)"	1	45340221	45343964	3744	1	"ENST00000495703"	0	"TOE1"	"Promoter (<=1kb)"
"395"	"ENSG00000132879"	"1"	11654329	11654411	83	"*"	"KOS_4h_peak_18"	24	"."	4.71278	6.75286	2.42901	47	"Promoter (<=1kb)"	1	11654375	11662289	7915	1	"ENST00000251546"	0	"FBXO44"	"Promoter (<=1kb)"
"396"	"ENSG00000133056"	"1"	204494608	204494659	52	"*"	"KOS_4h_peak_129"	34	"."	5.48383	7.97217	3.48058	16	"Promoter (<=1kb)"	1	204469622	204494701	25080	2	"ENST00000429009"	42	"PIK3C2B"	"Promoter (<=1kb)"
"398"	"ENSG00000133131"	"X"	107000158	107000223	66	"*"	"KOS_4h_peak_1492"	58	"."	7.07406	10.63466	5.87156	30	"Promoter (<=1kb)"	23	106940738	107000212	59475	2	"ENST00000355610"	0	"MORC4"	"Promoter (<=1kb)"
"399"	"ENSG00000133424"	"22"	33920351	33920405	55	"*"	"KOS_4h_peak_998"	24	"."	4.71278	6.75286	2.42901	23	"Promoter (<=1kb)"	22	33273077	33920414	647338	2	"ENST00000402320"	9	"LARGE1"	"Promoter (<=1kb)"
"400"	"ENSG00000133612"	"7"	151087452	151087536	85	"*"	"KOS_4h_peak_1370"	37	"."	5.68028	8.28611	3.77128	39	"Promoter (<=1kb)"	7	151087067	151118278	31212	1	"ENST00000469901"	385	"AGAP3"	"Promoter (<=1kb)"
"401"	"ENSG00000133816"	"11"	12110660	12110727	68	"*"	"KOS_4h_peak_224"	42	"."	5.88067	8.88893	4.28573	33	"Promoter (<=1kb)"	11	12110608	12263786	153179	1	"ENST00000707072"	52	"MICAL2"	"Promoter (<=1kb)"
"402"	"ENSG00000133895"	"11"	64810039	64810092	54	"*"	"KOS_4h_peak_241"	47	"."	6.19667	9.39654	4.74888	7	"Promoter (<=1kb)"	11	64803594	64809861	6268	2	"ENST00000671939"	-178	"MEN1"	"Promoter (<=1kb)"
"403"	"ENSG00000134253"	"1"	117121679	117121844	166	"*"	"KOS_4h_peak_81"	49	"."	5.95046	9.65003	4.98526	137	"Promoter (<=1kb)"	1	117111060	117121749	10690	2	"ENST00000256649"	0	"TRIM45"	"Promoter (<=1kb)"
"404"	"ENSG00000134318"	"2"	11345039	11345143	105	"*"	"KOS_4h_peak_817"	41	"."	5.9915	8.78912	4.19586	57	"Promoter (<=1kb)"	2	11179759	11344636	164878	2	"ENST00000697752"	-403	"ROCK2"	"Promoter (<=1kb)"
"405"	"ENSG00000134369"	"1"	201648662	201648757	96	"*"	"KOS_4h_peak_126"	45	"."	6.08763	9.22084	4.59327	65	"Promoter (<=1kb)"	1	201648249	201826969	178721	1	"ENST00000367296"	413	"NAV1"	"Promoter (<=1kb)"
"406"	"ENSG00000134371"	"1"	193122092	193122150	59	"*"	"KOS_4h_peak_125"	59	"."	6.42651	10.78055	5.99391	21	"Promoter (<=1kb)"	1	193122103	193251083	128981	1	"ENST00000650197"	0	"CDC73"	"Promoter (<=1kb)"
"407"	"ENSG00000134508"	"18"	23136025	23136317	293	"*"	"KOS_4h_peak_704"	142	"."	10.51614	19.65618	14.27127	129	"Promoter (<=1kb)"	18	23136424	23214231	77808	1	"ENST00000582882"	-107	"CABLES1"	"Promoter (<=1kb)"
"408"	"ENSG00000134508"	"18"	23135670	23135850	181	"*"	"KOS_4h_peak_703"	59	"."	6.63521	10.75496	5.98463	77	"Promoter (<=1kb)"	18	23135485	23260470	124986	1	"ENST00000256925"	185	"CABLES1"	"Promoter (<=1kb)"
"409"	"ENSG00000134595"	"X"	140504421	140504486	66	"*"	"KOS_4h_peak_1495"	65	"."	7.47828	11.38586	6.54681	35	"Promoter (<=1kb)"	23	140502985	140505069	2085	2	"ENST00000370536"	583	"SOX3"	"Promoter (<=1kb)"
"410"	"ENSG00000134686"	"1"	33349458	33349520	63	"*"	"KOS_4h_peak_50"	40	"."	5.52543	8.6321	4.07016	31	"Promoter (<=1kb)"	1	33330071	33349650	19580	2	"ENST00000486897"	130	"PHC2"	"Promoter (<=1kb)"
"412"	"ENSG00000134779"	"18"	36828679	36828749	71	"*"	"KOS_4h_peak_707"	33	"."	5.39061	7.82393	3.34571	19	"Promoter (<=1kb)"	18	36788693	36828730	40038	2	"ENST00000587382"	0	"TPGS2"	"Promoter (<=1kb)"
"413"	"ENSG00000134987"	"5"	111092242	111092326	85	"*"	"KOS_4h_peak_1166"	56	"."	6.19289	10.39984	5.65032	36	"Promoter (<=1kb)"	5	111092321	111111552	19232	1	"ENST00000505303"	0	"WDR36"	"Promoter (<=1kb)"
"414"	"ENSG00000135070"	"9"	86282189	86282265	77	"*"	"KOS_4h_peak_1421"	44	"."	5.6191	9.11226	4.49349	27	"Promoter (<=1kb)"	9	86265679	86282108	16430	2	"ENST00000311534"	-81	"ISCA1"	"Promoter (<=1kb)"
"415"	"ENSG00000135164"	"7"	87152300	87152419	120	"*"	"KOS_4h_peak_1329"	79	"."	7.02885	12.96654	7.99772	20	"Promoter (<=1kb)"	7	87152409	87196337	43929	1	"ENST00000413276"	0	"DMTF1"	"Promoter (<=1kb)"
"416"	"ENSG00000135312"	"6"	77463105	77463156	52	"*"	"KOS_4h_peak_1256"	48	"."	6.4418	9.53455	4.87907	17	"Promoter (<=1kb)"	6	77460924	77463491	2568	2	"ENST00000369947"	335	"HTR1B"	"Promoter (<=1kb)"
"417"	"ENSG00000135317"	"6"	85593681	85593737	57	"*"	"KOS_4h_peak_1258"	60	"."	6.24786	10.86302	6.07191	38	"Promoter (<=1kb)"	6	85504995	85593718	88724	2	"ENST00000682412"	0	"SNX14"	"Promoter (<=1kb)"
"418"	"ENSG00000135318"	"6"	85450526	85450608	83	"*"	"KOS_4h_peak_1257"	68	"."	7.22944	11.71798	6.86049	44	"Promoter (<=1kb)"	6	85450091	85471599	21509	1	"ENST00000369646"	435	"NT5E"	"Promoter (<=1kb)"
"419"	"ENSG00000135900"	"2"	223957387	223957450	64	"*"	"KOS_4h_peak_898"	36	"."	5.42002	8.15463	3.64797	19	"Promoter (<=1kb)"	2	223957463	223967714	10252	1	"ENST00000258383"	-13	"MRPL44"	"Promoter (<=1kb)"
"421"	"ENSG00000136068"	"3"	58008471	58008576	106	"*"	"KOS_4h_peak_1048"	49	"."	6.16127	9.65169	4.98526	26	"Promoter (<=1kb)"	3	58008422	58172251	163830	1	"ENST00000295956"	49	"FLNB"	"Promoter (<=1kb)"
"422"	"ENSG00000136450"	"17"	58007072	58007295	224	"*"	"KOS_4h_peak_623"	59	"."	6.42651	10.78055	5.99391	119	"Promoter (<=1kb)"	17	58000919	58007246	6328	2	"ENST00000258962"	0	"SRSF1"	"Promoter (<=1kb)"
"423"	"ENSG00000136603"	"3"	170357395	170357458	64	"*"	"KOS_4h_peak_1077"	40	"."	5.52543	8.6321	4.07016	42	"Promoter (<=1kb)"	3	170357342	170396835	39494	1	"ENST00000465590"	53	"SKIL"	"Promoter (<=1kb)"
"424"	"ENSG00000136715"	"2"	128027131	128027258	128	"*"	"KOS_4h_peak_877"	59	"."	6.63521	10.75496	5.98463	24	"Promoter (<=1kb)"	2	127941218	128027293	86076	2	"ENST00000259235"	35	"SAP130"	"Promoter (<=1kb)"
"425"	"ENSG00000136840"	"9"	127917103	127917158	56	"*"	"KOS_4h_peak_1442"	23	"."	4.67536	6.6938	2.39859	46	"Promoter (<=1kb)"	9	127907886	127917041	9156	2	"ENST00000335791"	-62	"ST6GALNAC4"	"Promoter (<=1kb)"
"426"	"ENSG00000137210"	"6"	10747809	10747921	113	"*"	"KOS_4h_peak_1211"	59	"."	6.42651	10.78055	5.99391	64	"Promoter (<=1kb)"	6	10747811	10756947	9137	1	"ENST00000379530"	0	"TMEM14B"	"Promoter (<=1kb)"
"428"	"ENSG00000137267"	"6"	3157427	3157478	52	"*"	"KOS_4h_peak_1206"	32	"."	5.14121	7.7109	3.24218	13	"Promoter (<=1kb)"	6	3154579	3157526	2948	2	"ENST00000489942"	48	"TUBB2A"	"Promoter (<=1kb)"
"429"	"ENSG00000137274"	"6"	3118401	3118452	52	"*"	"KOS_4h_peak_1205"	45	"."	6.08763	9.22084	4.59327	17	"Promoter (<=1kb)"	6	3118376	3153195	34820	1	"ENST00000430655"	25	"BPHL"	"Promoter (<=1kb)"
"431"	"ENSG00000137409"	"6"	36985036	36985145	110	"*"	"KOS_4h_peak_1245"	52	"."	6.54855	9.96887	5.26006	31	"Promoter (<=1kb)"	6	36965807	36984805	18999	2	"ENST00000695044"	-231	"MTCH1"	"Promoter (<=1kb)"
"432"	"ENSG00000137449"	"4"	15002454	15002505	52	"*"	"KOS_4h_peak_1110"	47	"."	5.78004	9.37391	4.72948	27	"Promoter (<=1kb)"	4	15002481	15070151	67671	1	"ENST00000538197"	0	"CPEB2"	"Promoter (<=1kb)"
"433"	"ENSG00000137494"	"11"	83193819	83193936	118	"*"	"KOS_4h_peak_258"	24	"."	4.71278	6.75286	2.42901	23	"Promoter (<=1kb)"	11	83193876	83256099	62224	1	"ENST00000260047"	0	"ANKRD42"	"Promoter (<=1kb)"
"434"	"ENSG00000137764"	"15"	67542742	67542803	62	"*"	"KOS_4h_peak_434"	73	"."	7.35084	12.28018	7.36979	43	"Promoter (<=1kb)"	15	67542703	67807114	264412	1	"ENST00000178640"	39	"MAP2K5"	"Promoter (<=1kb)"
"435"	"ENSG00000137776"	"15"	58933803	58933893	91	"*"	"KOS_4h_peak_430"	37	"."	5.50628	8.2919	3.77474	51	"Promoter (<=1kb)"	15	58879050	58933679	54630	2	"ENST00000380516"	-124	"SLTM"	"Promoter (<=1kb)"
"436"	"ENSG00000138166"	"10"	110501269	110501335	67	"*"	"KOS_4h_peak_199"	24	"."	4.71278	6.75286	2.42901	29	"Promoter (1-2kb)"	10	110502747	110510437	7691	1	"ENST00000468749"	-1412	"DUSP5"	"Promoter (1-2kb)"
"437"	"ENSG00000138286"	"10"	73168109	73168182	74	"*"	"KOS_4h_peak_179"	49	"."	5.95046	9.65003	4.98526	35	"Promoter (<=1kb)"	10	73168119	73244504	76386	1	"ENST00000242505"	0	"FAM149B1"	"Promoter (<=1kb)"
"438"	"ENSG00000138326"	"10"	78033886	78034001	116	"*"	"KOS_4h_peak_185"	50	"."	5.99808	9.72704	5.04225	13	"Promoter (<=1kb)"	10	78033886	78036529	2644	1	"ENST00000466129"	0	"RPS24"	"Promoter (<=1kb)"
"439"	"ENSG00000138641"	"4"	88593095	88593368	274	"*"	"KOS_4h_peak_1124"	51	"."	6.0395	9.79399	5.10335	23	"Promoter (<=1kb)"	4	88593251	88649998	56748	1	"ENST00000426683"	0	"HERC3"	"Promoter (<=1kb)"
"440"	"ENSG00000138785"	"4"	105708642	105708746	105	"*"	"KOS_4h_peak_1127"	79	"."	7.94058	12.89312	7.93819	74	"Promoter (<=1kb)"	4	105682627	105708689	26063	2	"ENST00000340139"	0	"INTS12"	"Promoter (<=1kb)"
"441"	"ENSG00000139133"	"12"	34022293	34022433	141	"*"	"KOS_4h_peak_294"	69	"."	6.85495	11.86177	6.98135	93	"Promoter (<=1kb)"	12	34022468	34029694	7227	1	"ENST00000538927"	-35	"ALG10"	"Promoter (<=1kb)"
"442"	"ENSG00000139163"	"12"	22625346	22625491	146	"*"	"KOS_4h_peak_293"	17	"."	3.9985	5.86251	1.70983	80	"Promoter (<=1kb)"	12	22625357	22626200	844	1	"ENST00000545979"	0	"ETNK1"	"Promoter (<=1kb)"
"444"	"ENSG00000139433"	"12"	109880415	109880557	143	"*"	"KOS_4h_peak_320"	18	"."	3.81662	6.04834	1.86824	123	"Promoter (<=1kb)"	12	109850945	109880541	29597	2	"ENST00000318348"	0	"GLTP"	"Promoter (<=1kb)"
"445"	"ENSG00000139641"	"12"	56118013	56118074	62	"*"	"KOS_4h_peak_302"	17	"."	3.9985	5.86251	1.70983	13	"Promoter (<=1kb)"	12	56118250	56131099	12850	1	"ENST00000551790"	-176	"ESYT1"	"Promoter (<=1kb)"
"446"	"ENSG00000139645"	"12"	56258288	56258372	85	"*"	"KOS_4h_peak_303"	52	"."	6.13124	9.94216	5.23651	49	"Promoter (<=1kb)"	12	56255323	56258370	3048	2	"ENST00000680026"	0	"ANKRD52"	"Promoter (<=1kb)"
"447"	"ENSG00000139722"	"12"	122896008	122896154	147	"*"	"KOS_4h_peak_327"	24	"."	4.08924	6.80383	2.46867	67	"Promoter (<=1kb)"	12	122865330	122896124	30795	2	"ENST00000267202"	0	"VPS37B"	"Promoter (<=1kb)"
"448"	"ENSG00000140157"	"15"	22838706	22838811	106	"*"	"KOS_4h_peak_414"	42	"."	5.6933	8.90153	4.2963	90	"Promoter (<=1kb)"	15	22838698	22866916	28219	1	"ENST00000539711"	8	"NIPA2"	"Promoter (<=1kb)"
"449"	"ENSG00000140332"	"15"	70099427	70099516	90	"*"	"KOS_4h_peak_436"	16	"."	4.28434	5.83183	1.69221	82	"Promoter (1-2kb)"	15	70047790	70098176	50387	2	"ENST00000558939"	-1251	"TLE3"	"Promoter (1-2kb)"
"450"	"ENSG00000140367"	"15"	75843495	75843546	52	"*"	"KOS_4h_peak_440"	33	"."	5.39061	7.82393	3.34571	4	"Promoter (<=1kb)"	15	75843568	75899494	55927	1	"ENST00000561723"	-22	"UBE2Q2"	"Promoter (<=1kb)"
"451"	"ENSG00000140455"	"15"	63504039	63504096	58	"*"	"KOS_4h_peak_431"	41	"."	5.60811	8.76486	4.17206	45	"Promoter (<=1kb)"	15	63504511	63594640	90130	1	"ENST00000540797"	-415	"USP3"	"Promoter (<=1kb)"
"452"	"ENSG00000140937"	"16"	65124761	65124816	56	"*"	"KOS_4h_peak_508"	142	"."	10.51614	19.65618	14.27127	31	"Promoter (<=1kb)"	16	65004642	65124292	119651	2	"ENST00000569624"	-469	"CDH11"	"Promoter (<=1kb)"
"453"	"ENSG00000140948"	"16"	87492774	87493018	245	"*"	"KOS_4h_peak_530"	59	"."	6.42651	10.78055	5.99391	65	"Promoter (<=1kb)"	16	87406248	87493024	86777	2	"ENST00000671377"	6	"ZCCHC14"	"Promoter (<=1kb)"
"454"	"ENSG00000140988"	"16"	1964757	1964809	53	"*"	"KOS_4h_peak_449"	23	"."	4.33171	6.68058	2.38836	7	"Promoter (<=1kb)"	16	1962060	1964803	2744	2	"ENST00000526522"	0	"RPS2"	"Promoter (<=1kb)"
"455"	"ENSG00000141002"	"16"	89873693	89873874	182	"*"	"KOS_4h_peak_547"	72	"."	7.00714	12.11034	7.21495	36	"Promoter (<=1kb)"	16	89873668	89896083	22416	1	"ENST00000568412"	25	"TCF25"	"Promoter (<=1kb)"
"456"	"ENSG00000141232"	"17"	50865725	50865821	97	"*"	"KOS_4h_peak_616"	86	"."	7.97648	13.69022	8.6729	24	"Promoter (<=1kb)"	17	50862223	50866354	4132	2	"ENST00000499247"	533	"TOB1"	"Promoter (<=1kb)"
"457"	"ENSG00000141232"	"17"	50866144	50866360	217	"*"	"KOS_4h_peak_617"	50	"."	5.99808	9.72704	5.04225	92	"Promoter (<=1kb)"	17	50862223	50866354	4132	2	"ENST00000499247"	0	"TOB1"	"Promoter (<=1kb)"
"458"	"ENSG00000141349"	"17"	44070996	44071082	87	"*"	"KOS_4h_peak_596"	70	"."	7.10915	11.88788	7.00247	52	"Promoter (<=1kb)"	17	44070957	44078104	7148	1	"ENST00000696393"	39	"G6PC3"	"Promoter (<=1kb)"
"459"	"ENSG00000141380"	"18"	26090607	26090694	88	"*"	"KOS_4h_peak_705"	16	"."	4.53748	5.83818	1.69508	19	"Promoter (<=1kb)"	18	26016253	26090613	74361	2	"ENST00000415083"	0	"SS18"	"Promoter (<=1kb)"
"460"	"ENSG00000141385"	"18"	12376789	12376865	77	"*"	"KOS_4h_peak_698"	50	"."	5.99808	9.72704	5.04225	46	"Promoter (<=1kb)"	18	12358704	12377002	18299	2	"ENST00000590811"	137	"AFG3L2"	"Promoter (<=1kb)"
"461"	"ENSG00000141391"	"18"	12407862	12407938	77	"*"	"KOS_4h_peak_699"	56	"."	6.59493	10.34993	5.60506	31	"Promoter (<=1kb)"	18	12407896	12431463	23568	1	"ENST00000590956"	0	"PRELID3A"	"Promoter (<=1kb)"
"462"	"ENSG00000141448"	"18"	22171931	22171994	64	"*"	"KOS_4h_peak_701"	24	"."	4.71278	6.75286	2.42901	16	"Promoter (<=1kb)"	18	22170933	22200880	29948	1	"ENST00000581694"	998	"GATA6"	"Promoter (<=1kb)"
"463"	"ENSG00000141526"	"17"	82229334	82229385	52	"*"	"KOS_4h_peak_680"	25	"."	4.9853	6.92979	2.57977	7	"Promoter (<=1kb)"	17	82229093	82239481	10389	1	"ENST00000582715"	241	"SLC16A3"	"Promoter (<=1kb)"
"464"	"ENSG00000141543"	"17"	80146913	80147190	278	"*"	"KOS_4h_peak_662"	205	"."	12.19504	26.27096	20.51775	140	"Promoter (<=1kb)"	17	80134369	80147128	12760	2	"ENST00000649764"	0	"EIF4A3"	"Promoter (<=1kb)"
